row_id,name,outlet,cohort,current_or_past,page_status_source,tarbell_card_position,disclosure_text,disclosure_on_author_page,disclosure_note,author_page_url,author_page_source_id,source_url,source_id,fellows_page_url,fellows_page_source_id
R014,Avi Ackermann,Coda,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),"Coda, 2023 – 2024","tagram X Facebook YouTube Avi Ackermann Tarbell Fellow Avi Ackermann is a Tarbell Fellow reporting for Coda from New York. He is a Dean's Distinguished Graduate from the University of Texas at Austin, where",yes,V,https://www.codastory.com/author/avi-ackermann/,AUTH014,https://www.tarbellcenter.org/team/avi-ackermann,BIO014,https://www.tarbellcenter.org/fellows,S001
R015,Celina Zhao,U,2025,past,S001 heading (2025 Fellows vs Past Fellows),2025,,no,no Tarbell string in retrieved author-page visible text,https://www.technologyreview.com/author/celina-zhao/,AUTH015,https://www.tarbellcenter.org/team/celina-zhao,BIO015,https://www.tarbellcenter.org/fellows,S001
R016,Effie Webb,The Bureau of Investigative Journalism,2025 – 2026,past,S001 heading (2025 Fellows vs Past Fellows),"The Bureau of Investigative Journalism, 2025 – 2026","the Bureau as a fellow supported by the Tarbell Center for AI Journalism. Latest by This Author 20.07.26 Big Tech âThis is AI out of controlâ: Claude disobeyed Anthropic CEO in simulations In testing, Cl",yes,V,https://www.thebureauinvestigates.com/profile/effiewebb,AUTH016b,https://www.tarbellcenter.org/team/effie-webb,BIO016,https://www.tarbellcenter.org/fellows,S001
R017,Elissa Welle,The Verge,2025 – 2026,past,S001 heading (2025 Fellows vs Past Fellows),"The Verge, 2025 – 2026",stagram Youtube RSS Elissa Welle Former Tarbell AI Fellow Follow Follow Former Tarbell AI Fellow RSS RSS More From Elissa Welle Did Neuralink make the wrong bet? The field of brain-computer interfaces is mov,yes,V,https://www.theverge.com/authors/elissa-welle,AUTH017,https://www.tarbellcenter.org/team/elissa-welle,BIO017,https://www.tarbellcenter.org/fellows,S001
R018,Harry Booth,TIME,2024 – 2025,past,S001 heading (2025 Fellows vs Past Fellows),"TIME, 2024 – 2025",,no,no Tarbell string in retrieved author-page visible text,https://r.jina.ai/https://time.com/author/harry-booth/,AUTH018jina,https://www.tarbellcenter.org/team/harry-booth,BIO018,https://www.tarbellcenter.org/fellows,S001
R019,Jacob Wulff Wold,Euractiv,2024 – 2025,past,S001 heading (2025 Fellows vs Past Fellows),"Euractiv, 2024 – 2025",,U,HTTP 403; not a disclosure observation,https://www.euractiv.com/authors/jacob-wulff-wold/,AUTH019,https://www.tarbellcenter.org/team/jacob-wulff-wold,BIO019,https://www.tarbellcenter.org/fellows,S001
R020,Jared Perlo,NBC News,2025 – 2026,past,S001 heading (2025 Fellows vs Past Fellows),"NBC News, 2025 — 2026",,no,no Tarbell string in retrieved author-page visible text,https://www.nbcnews.com/author/jared-perlo-ncpn1312649,AUTH020b,https://www.tarbellcenter.org/team/jared-perlo,BIO020,https://www.tarbellcenter.org/fellows,S001
R021,Kevin Frazier,Lawfare,2024 – 2025,past,S001 heading (2025 Fellows vs Past Fellows),"Lawfare, 2024 — 2025",,U,HTTP 403; not a disclosure observation,https://www.lawfaremedia.org/contributors/kfrazier,AUTH021,https://www.tarbellcenter.org/team/kevin-frazier,BIO021,https://www.tarbellcenter.org/fellows,S001
R022,Laura González Salmerón,U,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),2023 – 2024,,U,no author-page capture,U,U,https://www.tarbellcenter.org/team/laura-gonzalez-salmeron,BIO022,https://www.tarbellcenter.org/fellows,S001
R023,Lauren Gilbert,U,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),2023 – 2024,,U,no author-page capture,U,U,https://www.tarbellcenter.org/team/lauren-gilbert,BIO023,https://www.tarbellcenter.org/fellows,S001
R024,Lynette Bye,Transformer,2024 – 2025,past,S001 heading (2025 Fellows vs Past Fellows),"Transformer, 2024 – 2025",,U,HTTP 404; not a disclosure observation,https://www.transformernews.ai/author/lynette/,AUTH024,https://www.tarbellcenter.org/team/lynette-bye,BIO024,https://www.tarbellcenter.org/fellows,S001
R025,Mathias Gjesdal Hammer,TIME,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),"TIME, 2023 – 2024",,no,no Tarbell string in retrieved author-page visible text,https://r.jina.ai/https://time.com/author/mathias-hammer/,AUTH025jina,https://www.tarbellcenter.org/team/mathias-gjesdal-hammer,BIO025,https://www.tarbellcenter.org/fellows,S001
R026,Rocket Drew,The Information,2024 – 2026,past,S001 heading (2025 Fellows vs Past Fellows),"The Information, 2024 – 2026",,U,HTTP 403; not a disclosure observation,https://www.theinformation.com/author/rocket-drew,AUTH026,https://www.tarbellcenter.org/team/rocket-drew,BIO026,https://www.tarbellcenter.org/fellows,S001
R027,Scott J Mulligan,MIT Tech Review,2024 – 2025,past,S001 heading (2025 Fellows vs Past Fellows),"MIT Tech Review, 2024 – 2025","er at MIT Technology Review through the Tarbell Fellowship, focusing on policy, governance, and the inner workings of AI. I’ve also worked as a documentary filmmaker for VICE News and as a video game designe",yes,V,https://www.technologyreview.com/author/scott-j-mulligan/,AUTH027,https://www.tarbellcenter.org/team/scott-j-mulligan,BIO027,https://www.tarbellcenter.org/fellows,S001
R028,Tharin Pillay,TIME,2024 – 2026,past,S001 heading (2025 Fellows vs Past Fellows),"TIME, 2024 – 2026",ng us. He is currently supported by the Tarbell Fellowship. Open follow modal Personalized Content Tharin Pillay Follow this author to personalize your feed and get instant alerts. Follow Go to your personal,yes,V,https://time.com/author/tharin-pillay/,AUTH028,https://www.tarbellcenter.org/team/tharin-pillay,BIO028,https://www.tarbellcenter.org/fellows,S001
R029,Will Henshall,TIME,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),"TIME, 2023 – 2024",,no,no Tarbell string in retrieved author-page visible text,https://r.jina.ai/https://time.com/author/will-henshall/,AUTH029jina,https://www.tarbellcenter.org/team/will-henshall,BIO029,https://www.tarbellcenter.org/fellows,S001
R030,Yasmin Rafiei,U,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),2023 – 2024,,no,no Tarbell string in retrieved author-page visible text,https://www.newyorker.com/contributors/yasmin-rafiei,AUTH030,https://www.tarbellcenter.org/team/yasmin-rafiei,BIO030,https://www.tarbellcenter.org/fellows,S001
