row_id,fiscal_year,measure,value_usd,person_or_note,source_url
N12,2024,officer compensation,230384,Rajiv Dattani | COO and Treasurer; director; officer | reportable comp from METR 230384; from related org (ARC) 0; other 630,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N13,2024,officer compensation,0,Adam Gleave | Director (0.5 hr/wk) | reportable comp from METR 0; from related org (ARC) 0; other 0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N14,2024,officer compensation,141577,Kyle Scott | Secretary and Treasurer; officer | reportable comp from METR 141577; from related org (ARC) 94127; other 630,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N15,2024,key employee compensation,167556,"Chris Painter | Key employee, policy staff | from METR 167556; from ARC 84123; other 7358",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N16,2024,key employee compensation,215587,"Ben West | Key employee, technical staff | from METR 215587; from ARC 0; other 5048",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N17,2024,highest paid employee,243560,Maksym Taran | technical staff | from METR 243560; from ARC 0; other 0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N18,2024,highest paid employee,226183,Katharyn Garcia | technical staff | from METR 226183; from ARC 0; other 4948,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N19,2024,highest paid employee,184335,Tao Lin | technical staff | from METR 184335; from ARC 84127; other 5993,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N20,2024,highest paid employee,160170,Hannes Hjalmar Wijk | technical staff | from METR 160170; from ARC 67212; other 6486,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N21,2024,highest paid employee,144693,Harold Broadley | technical staff | from METR 144693; from ARC 0; other 7674,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N22,2024,total revenue (ProPublica summary),13639155,"ProPublica API organization record revenue_amount; filing listed under filings_without_data (PDF only); PDF/XML downloads from ProPublica blocked by security check, XML obtained from GivingTuesday 990 data lake mirror",https://projects.propublica.org/nonprofits/api/v2/organizations/991219864.json
N23,2021,total revenue,475650,ARC FY2021 (2021-03-01 to 2021-12-31); Alignment Research Center (EIN 86-3605182); ARC Evals was a division of ARC until the evaluations program spun out as METR (ARC 990 FY2024 Schedule N: transfer dated 2024-04-30; METR formation year 2024),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N24,2021,contributions,475650,ARC FY2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N25,2021,total expenses,153352,ARC FY2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N26,2021,net assets,322298,ARC FY2021 EOY,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N27,2021,employees,2,ARC FY2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N28,2021,volunteers,1,ARC FY2021,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N29,2021,officer compensation,0,Paul Christiano President (60 hr/wk) 0; Holden Karnofsky Secretary/Treasurer 0; Daniel Dewey board 0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202169349301320_public.xml
N30,2022,total revenue,4466022,ARC FY2022 (calendar); ARC Evals founded 2022 within ARC,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N31,2022,contributions,4466000,ARC FY2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N32,2022,total expenses,1425170,ARC FY2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N33,2022,net assets,3363150,ARC FY2022 EOY,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N34,2022,employees,8,ARC FY2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N35,2022,volunteers,1,ARC FY2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N36,2022,grants paid,262000,ARC FY2022 Part IX line 1-3 (grants and similar amounts paid),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N37,2022,officer compensation,0,Paul Christiano President 0; Holden Karnofsky Secretary/Treasurer 0; Daniel Dewey Director 0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N38,2022,highest paid employee,365792,"Mark Xu, Researcher (60 hr/wk)",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313199349329641_public.xml
N39,2023,total revenue,10043597,ARC FY2023 (calendar); Schedule O: evaluations project became majority of expenses in 2023 and would spin out in 2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N40,2023,contributions,10043543,ARC FY2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N41,2023,total expenses,6272135,ARC FY2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N42,2023,net assets,7134612,ARC FY2023 EOY,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N43,2023,employees,28,ARC FY2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N44,2023,volunteers,2,ARC FY2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N45,2023,officer compensation,151507,"Kyle Scott Treasurer/Secretary 151,507; Paul Christiano Chair 0; Holden Karnofsky board (left April 2023) 0; Daniel Dewey 0",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N46,2023,key employee compensation,224576,"Elizabeth Barnes, Evals Project Lead (key employee)",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N47,2023,highest paid employee,298652,"Jacob Hilton Researcher 298,652; Mark Xu 224,851; Luke Miles 203,601; Hannes Wijk 194,290",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml
N48,2024,total revenue,5219369,ARC FY2024 (calendar) post spin-off; Alignment Research Center (EIN 86-3605182); ARC Evals was a division of ARC until the evaluations program spun out as METR (ARC 990 FY2024 Schedule N: transfer dated 2024-04-30; METR formation year 2024),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N49,2024,contributions,5219333,ARC FY2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N50,2024,total expenses,9054183,"ARC FY2024; includes 4,553,935 grant/asset transfer to METR",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N51,2024,net assets,3299798,ARC FY2024 EOY,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N52,2024,employees,38,ARC FY2024 (W-2 count includes staff transferred to METR during year),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N53,2024,volunteers,6,ARC FY2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N54,2024,grants paid,4553935,"ARC FY2024 Schedule I: to Model Evaluation and Threat Research Inc, 4,477,169 cash + 76,766 non-cash, purpose PROGRAM SPIN-OFF; Schedule N transfer date 2024-04-30",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N55,2024,officer compensation,328284,"Jacob Hilton President 328,284 (+12,981 other); Kyle Scott Treasurer/Secretary 94,127 from ARC + 141,577 from METR; Christiano, Shlegeris, Hoskin, Dewey board 0",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N56,2024,highest paid employee,239060,"Eric Neyman Researcher 239,060; David Matolsci 200,337; Mark Xu 197,284; Victor Lecomte 137,366; Lucas Sato 122,301",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349323246_public.xml
N57,2026,"funding policy (metr.org/about, fetched 2026-09-14)",n/a,"""METR is funded by donations ... (Note: METR cannot accept donations made by or at the direction of frontier AI company employees.) ... a small part of our income is from a technical assistance contract with the European AI Office ... METR has not accepted funding from AI companies, though we make use of significant free tokens"" (research/metr-about-2026-09-14.txt)",https://metr.org/about
N58,2026,"roster entries (metr.org/about, fetched 2026-09-14)",n/a,"""Research Collaborators: Alexander Barry, Epoch AI""; ""Technical Staff: Kei Nishimura-Gasparian""; the two accounts that denied Coefficient funding in the Sep 13 reply threads (IF68, IF74, IF80, IF85, IF88, IF90)",https://metr.org/about
