row_id,date,lab,model,engagement_type,metr_report_url,lab_doc_cites_metr,lab_doc_url,quote,source_url,notes
E11,2025-03-05,DeepSeek,DeepSeek-R1,not a partnership,https://metr.org/evaluations/deepseek-r1-report/,unknown,,,https://metr.org/evaluations/deepseek-r1-report/,Annual report: 'DeepSeek-R1 forthcoming'. Public-weights model run by METR independently; also 'DeepSeek and Qwen Evaluation Results' post (DeepSeek-R1-0528) listed on metr.org/research.
E12,2025-04-16,OpenAI,o3 and o4-mini,pre-deployment evaluation,https://metr.org/evaluations/openai-o3-report/,yes,https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,"METR ... evaluated earlier checkpoints of o4-mini and o3. This work spanned 15 days, with OpenAI sharing a subset of their internal evaluation results",https://cdn.openai.com/pdf/2221c875-02dc-4789-800b-e7758f3722c1/o3-and-o4-mini-system-card.pdf,METR: access three weeks prior to release; detected reward hacking on RE-Bench. Card: 'METR does not consider these results to indicate that o3 poses significant catastrophic risks'.
E13,2025-05-22,Anthropic,Claude Opus 4 / Claude Sonnet 4,lab used METR tasks,https://metr.org/time-horizons/,yes,https://www-cdn.anthropic.com/6be99a52cb68eb70eb9572b4cafad13df32ed995.pdf,"""Deduplicate Data"" is a METR public task where the agent has to write an efficient algorithm to deduplicate a file containing many lines that are near-duplicates.",https://www-cdn.anthropic.com/6be99a52cb68eb70eb9572b4cafad13df32ed995.pdf,"Claude 4 system card section 7.3.2 'METR data deduplication' threshold (Opus 4 crossed it, 32.6% of trials). No METR third-party assessment named in card. METR measured Opus 4 time horizon post-release (Wikipedia table / time-horizons page)."
E14,2025-07-07,Amazon,Nova Premier,external review of lab risk report,,yes,https://arxiv.org/pdf/2507.06260,"Independent auditors (Nemesys Insights for CBRN and Model Evaluation & Threat Research (METR) for Automated AI R&D) reviewed results on test sets, scoring rubrics, and safety-judge notes",https://arxiv.org/pdf/2507.06260,"Amazon paper 'Evaluating the Critical Risks of Amazon's Nova Premier under the Frontier Model Safety Framework' (arXiv 2507.06260, Jul 7 2025). Amazon submitted RE-Bench and multi-agent logs to METR for independent assessment. | audit S3 2026-09-14: AWS AI Service Card for Nova Micro/Lite/Pro/Premier also credits 'independent review by METR' (L22)."
E15,2025-07-20,xAI,Grok 4 (later Grok 4.3),post-release evaluation,https://metr.org/time-horizons/,no,https://data.x.ai/2025-08-20-grok-4-model-card.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'July 20th, 2025: Added Grok-4'; Grok 4.3 listed on page. No xAI document citing METR found. Checked 2026-09-13: Grok 4 Model Card (Aug 20 2025), Grok 4.20 System Card (Apr 7 2026, data.x.ai) and Grok 4.6 Model Card (Aug 12 2026, media.x.ai) each contain zero occurrences of 'METR'. Time-horizons page (Sep 2026) lists Grok 4.3 among models that 'don't currently have time horizons'. | audit S3 2026-09-14: no Grok 4.3 model card exists on any xAI host (shipped Apr 2026 without a news post; Wayback CDX lists none); Grok 4, 4.20, 4.5 (Jul 14 2026) and 4.6 (Aug 12 2026) cards each contain zero 'METR'."
E16,2025-08-07,OpenAI,GPT-5 (gpt-5-thinking),pre-deployment evaluation,https://metr.org/evaluations/gpt-5-report/,yes,https://cdn.openai.com/gpt-5-system-card.pdf,"METR ... evaluated gpt-5-thinking for risks from autonomy. This work spanned 3 weeks, with OpenAI sharing all requested key background information about the model",https://cdn.openai.com/gpt-5-system-card.pdf,"METR: access four weeks prior to release; assurance checklist; four conclusions (unlikely >10x AI R&D speedup, sandbagging, rogue replication). Card is Aug 13 2025 canonical PDF; openai.com HTML page returns 403 to curl."
E17,2025-11-19,OpenAI,GPT-5.1-Codex-Max,pre-deployment evaluation,https://metr.org/evaluations/gpt-5-1-codex-max-report/,yes,https://cdn.openai.com/pdf/2a7d98b1-57e5-4147-8d0e-683894d782ae/5p1_codex_max_card_03.pdf,"This work spanned 2 weeks, with OpenAI sharing all critical background information requested about the model, and (in some assessments) providing access to reasoning traces.",https://metr.org/evaluations/gpt-5-1-codex-max-report/,"METR report reviews 'an earlier checkpoint of GPT-5.1-Codex-Max'. System card PDF (Nov 18 2025) section 5.1.3.6 'External evaluations by METR' fetched from cdn.openai.com 2026-09-13 (linked from deploymentsafety.openai.com/gpt-5-1-codex-max): 50% time horizon 2h42m (75m-350m); 'absent a significant trend break, further development would be unlikely to enable these threat models in the next 6 months'; 'OpenAI also confirmed that these results are in line with expectations and that METR is not missing key information.' openai.com HTML page still 403. | audit S3 2026-09-14: section 5.1.3.6 'External evaluations by METR', printed pp.24-25 (PDF pp.25-26), 12 occurrences."
E18,2025-12-19,Anthropic,Claude Opus 4.5,post-release evaluation,https://metr.org/time-horizons/,no,https://assets.anthropic.com/m/64823ba7485345a7/Claude-Opus-4-5-System-Card.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'December 19th, 2025: Added Claude Opus 4.5'. Opus 4.5 system card (Nov 2025) has zero occurrences of 'METR'. Time Horizon 1.1 post (Jan 29 2026) revises Opus 4.5 estimate."
E19,2026,OpenAI,GPT-5.5,none found,https://metr.org/time-horizons/,no,https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,,https://metr.org/time-horizons/,"GPT-5.5 System Card PDF (Apr 23 2026, updated Apr 24; 46 pp) fetched from deploymentsafety.openai.com 2026-09-13: zero occurrences of 'METR' (the 11 case-insensitive hits are 'metric'); external bio evaluator named is SecureBio. CORRECTION: METR's time-horizons page (fetched 2026-09-13) lists GPT-5.5 with Claude Opus 4.7 and Grok 4.3 under models that 'don't currently have time horizons', so no METR evaluation of GPT-5.5 is documented on either side; engagement_type changed from 'post-release evaluation'. openai.com HTML still 403. | audit S3 2026-09-14: re-verified (md5 identical); external evaluators named are SecureBio, US CAISI, Apollo Research."
E20,2026,Google DeepMind,Gemini 3 Pro / Gemini 3.1 Pro,post-release evaluation,https://metr.org/time-horizons/,yes,https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,We adopt the METR modular scaffold with minimal changes.,https://metr.org/time-horizons/,"Time-horizons changelog: 'February 3rd, 2026: Added Gemini 3 Pro'; 'April 15th, 2026: Added Gemini 3.1 Pro'. Checked 2026-09-13: Gemini 3 Pro Frontier Safety Framework Report (Nov 2025) cites METR only as the source of the RE-Bench 'Modular' scaffold (methodology citation, not an evaluator credit); its external safety testers are 'a set of specialist independent groups', unnamed. Gemini 3 Pro and 3.1 Pro model cards (Feb 2026) and FSF v3.1 (Apr 17 2026) contain zero 'METR'. | audit S3 2026-09-14: Gemini 3.5/3.6/3.7/3.8 Flash cards and the Aug 2026 Gemini 3.7 Flash FSF report contain zero 'METR'."
E21,2026-01-27,Amazon,Nova 2.0 Lite,external review of lab risk report,,yes,https://arxiv.org/pdf/2601.19134,"we provided the Model Evaluation and Threat Research (METR) group with our evaluation results, including detailed transcripts from RE-Bench runs. Their independent assessment is provided below",https://arxiv.org/pdf/2601.19134,METR text embedded in paper: 'we believe this model does not cross the Automated AI R&D Critical Capability Threshold laid out in Amazon's Frontier Model Safety Framework ... based primarily on evaluation results that Amazon shared with us'. | audit S3 2026-09-14: Nova 2 technical report p.13: 'Current assessments with METR concluded that Nova 2 does not meet the critical threshold for automated AI R&D' (L23).
E22,2026-02,Anthropic,Claude Opus 4.6,post-release evaluation,https://metr.org/time-horizons/,no,https://www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'February 20th, 2026: Added Claude Opus 4.6 and GPT-5.3-Codex'. Opus 4.6 system card (Feb 2026) has zero occurrences of 'METR'. See also E20/E21 for the Opus 4.6 risk-report review."
E23,2026-02-04,OpenAI,GPT-5.2,post-release evaluation,https://metr.org/time-horizons/,no,https://cdn.openai.com/pdf/3a4153c8-c748-4b71-8e31-aecbde944f8d/oai_5_2_system-card.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'February 4th, 2026: Added GPT-5.2'. 'Update to GPT-5 System Card: GPT-5.2' (Dec 11 2025) fetched from cdn.openai.com 2026-09-13: zero occurrences of 'METR'."
E24,2026-02-20,OpenAI,GPT-5.3-Codex,post-release evaluation,https://metr.org/time-horizons/,no,https://cdn.openai.com/pdf/23eca107-a9b1-4d2c-b156-7deb4fbc697c/GPT-5-3-Codex-System-Card-02.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'February 20th, 2026: Added Claude Opus 4.6 and GPT-5.3-Codex'. GPT-5.3-Codex System Card (Feb 5 2026; same PDF at deploymentsafety.openai.com/gpt-5-3-codex/gpt-5-3-codex.pdf) fetched 2026-09-13: zero occurrences of 'METR'."
E25,2026-03-12,Anthropic,Claude Opus 4.6 (Sabotage Risk Report),external review of lab risk report,https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/,yes,https://www-cdn.anthropic.com/f4294ebe6210558c62226f44bd5c716f9cb80add/Redacted%20Risk%20Report%20Feb%202026.pdf,"We revised language that a pilot external review from METR had highlighted as in need of improvement, regarding the internal model use survey discussed in section 3.4.",https://metr.org/blog/2026-03-12-sabotage-risk-report-opus-4-6-review/,METR reviewed Feb 11 and Mar 3 2026 versions with unredacted access; agrees risk 'very low but not negligible'. Anthropic Aug 2026 Risk Report: 'pilot external reviews (e.g. with METR here for the AI R&D section of our previous Risk Report'. Review PDF: https://metr.org/assets/sabotage-risk-report-opus-4-6-review-mar-2026.pdf
E26,2026-03-25,Anthropic,Claude Opus 4.6 (internal agent monitoring red-team),external review of lab risk report,https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,yes,https://www-cdn.anthropic.com/f61d49fa5596956a5dec75fea0e973bf6a6a8378/Redacted%20Risk%20Report%20August%202026%20.pdf,A METR staff member spent three weeks red-teaming our automated offline monitoring pipeline in February-March 2026. The exercise discovered several specific novel vulnerabilities,https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,"METR staff member (David Rein) spent three weeks red-teaming Anthropic's internal agent monitoring/security systems described in the Opus 4.6 Sabotage Risk Report; 'several specific novel vulnerabilities'. Anthropic Risk Report: August 2026 (fetched 2026-09-13) confirms the exercise ('some of which have since been patched, and none as severe as the ones we were already aware of') and reports a 'METR Red Teaming' row in Table 2.23.1.2.B (monitor catch rates 78% / 94% / 62% / 79%)."
E27,2026-04-07,Anthropic,Claude Mythos Preview,pre-deployment evaluation,https://metr.org/time-horizons/,yes,https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf,Both METR and Epoch AI tested Claude Mythos Preview prior to release and we incorporated their findings into our own overall risk assessment.,https://www-cdn.anthropic.com/8b8380204f74670be75e81c820ca8dda846ab289.pdf,Mythos Preview system card section 2.3.7 'External testing'. Time-horizons changelog May 8 2026: 'Added Claude Mythos Preview (early)'; 'Measurements above 16 hrs are unreliable'. Search summary: METR/Epoch tested rediscovery of an unpublished ML result.
E28,2026-04-10,OpenAI,GPT-5.4,post-release evaluation,https://metr.org/time-horizons/,no,https://deploymentsafety.openai.com/gpt-5-4-thinking/gpt-5-4-thinking.pdf,,https://metr.org/time-horizons/,"Time-horizons changelog: 'April 10th, 2026: Added GPT-5.4'. GPT-5.4 Thinking System Card (Mar 5 2026) fetched from deploymentsafety.openai.com 2026-09-13: zero occurrences of 'METR'."
E29,2026-05-19,Anthropic,"internal frontier model(s), Feb-Mar 2026 (Frontier Risk Report)",pre-deployment evaluation,https://metr.org/blog/2026-05-19-frontier-risk-report/,yes,https://www-cdn.anthropic.com/f61d49fa5596956a5dec75fea0e973bf6a6a8378/Redacted%20Risk%20Report%20August%202026%20.pdf,These results are further supported by findings described in METR's recent Frontier Risk Report,https://metr.org/blog/2026-05-19-frontier-risk-report/,"FRR: 'All participants (Anthropic, Google, Meta, and OpenAI) stated that the model(s) they shared represented their internal state-of-the-art at some point in the mid-February to mid-March 2026 assessment window.' Anthropic Aug 2026 Risk Report cites METR's FRR 14 times."
E30,2026-05-19,Google DeepMind,"internal frontier model(s), Feb-Mar 2026 (Frontier Risk Report)",pre-deployment evaluation,https://metr.org/blog/2026-05-19-frontier-risk-report/,no,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3-1.pdf,"(footnote 1 URL list only: ""See https://www.gov.uk/..., https://metr.org/faisc, https://www.anthropic.com/rsp-updates, ..."")",https://metr.org/blog/2026-05-19-frontier-risk-report/,"Same FRR engagement; incident IDs INC-022..INC-042 labeled 'Google DeepMind'. Gemini 3 Pro / 3.1 Pro also added to public time-horizons page Feb 3 / Apr 15 2026 (post-release). The FSF v3.1 document contains one generic METR link (https://metr.org/faisc), but does not attribute or discuss this Frontier Risk Report engagement. audit 2026-09-14: lab_doc_cites_metr was no and the note said the FSF contained no METR beyond a different citation. | audit S3 2026-09-14: was 'yes' resting on the footnote-1 URL list on p.2 of FSF v3.1, a reference to METR's commitments tracker, not a credit; Gemini 3.7 Flash FSF report (Aug 2026, 41 pp) has zero 'METR' and names UK AISI and Redwood Research as external advisors (p.35)."
E31,2026-05-19,Meta,"internal frontier model(s), Feb-Mar 2026 (Frontier Risk Report)",pre-deployment evaluation,https://metr.org/blog/2026-05-19-frontier-risk-report/,no,https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2,,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Same FRR engagement; Meta named as participant. No Meta document citing METR located. Checked 2026-09-13: Meta Frontier AI Framework v1.1 (Wayback captures of Feb 13 2025 and Dec 21 2025) has zero 'METR'; web search found no 2026 Meta document referencing the FRR. Left 'unknown' because no Meta document post-dating the FRR was located to check. | audit S3 2026-09-14: was 'unknown'. Meta replaced the Frontier AI Framework with the Advanced AI Scaling Framework v2 on Apr 7 2026 (44 pp; Wayback raw captures 2026-04-08 and 2026-09-10): zero 'METR', zero 'Frontier Risk Report'."
E32,2026-05-19,OpenAI,"internal frontier model(s), Feb-Mar 2026 (Frontier Risk Report)",pre-deployment evaluation,https://metr.org/blog/2026-05-19-frontier-risk-report/,unknown,,,https://metr.org/blog/2026-05-19-frontier-risk-report/,"Same FRR engagement; incident IDs INC-026..INC-035 labeled 'OpenAI'. No OpenAI document for this shared engagement was identified. audit 2026-09-14: lab_doc_cites_metr was no and lab_doc_url was https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf, but that later card's METR references concern the separate Sol evaluation (E33), not E32."
E33,2026-06-26,OpenAI,GPT-5.6 Sol,pre-deployment evaluation,https://metr.org/blog/2026-06-26-gpt-5-6-sol/,yes,https://deploymentsafety.openai.com/gpt-5-6-preview/gpt-5-6-preview.pdf,"METR reported that GPT-5.6 Sol exhibited an unusually high detected rate of ""cheating,"" and thus did not consider the time-horizon result to be a robust measurement of the model's capabilities.",https://metr.org/blog/2026-06-26-gpt-5-6-sol/,OpenAI gave API access to final and 'railfree' checkpoints plus raw chain-of-thought. 50% time horizon ~11.3h (cheating = failure) vs >270h if cheating counted. Post under NDA; OpenAI comms/legal reviewed. Same section in final GPT-5.6 System Card (Jul 9 2026) https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf.
E34,2026-07-24,Anthropic,Claude Opus 5,not a partnership,,no,https://www-cdn.anthropic.com/ceaf5c7ff2783855203fde8208ec311252dced5b/Claude%20Opus%205%20System%20Card.pdf,,https://www-cdn.anthropic.com/ceaf5c7ff2783855203fde8208ec311252dced5b/Claude%20Opus%205%20System%20Card.pdf,Opus 5 system card contains zero occurrences of 'METR'. Recorded so the absence is explicit; METR may have measured it post-release (not verified).
E35,2026-08-26,OpenAI,"internal research model (Hugging Face incident, Jul 2026)",incident investigation,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,yes,https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf,"OpenAI also worked with METR and Redwood Research to conduct a third-party assessment of the model behavior observed during the incident, which informed its own analysis.",https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"Two METR staff (Hjalmar Wijk, Ajeya Cotra) + Redwood's Ryan Greenblatt worked on-site at OpenAI six days; ~1200 agents, >70,000 messages, ~700 attacked Hugging Face. OpenAI blog https://openai.com/index/hugging-face-incident-and-the-road-ahead/ links 'Read METR report'. OpenAI could redact non-public info. | audit S3 2026-09-14: bylined Ryan Greenblatt, Ajeya Cotra, Hjalmar Wijk (blog and 91-pp PDF metr.org/hugging-face-incident-report-aug-2026.pdf); Wijk (S03) and Cotra (S12) have no prior frontier-lab employer; Greenblatt is Redwood staff."
E36,2026-09-01,Anthropic,Claude Mythos 5.1 (with Claude Fable 5.1),pre-deployment evaluation,,yes,https://www-cdn.anthropic.com/0339e6a7c5c7b87f5c07798616dc32c215d14235/Claude%20Fable%205.1%20&%20Claude%20Mythos%205.1%20System%20Card.pdf,"We conducted pre-deployment testing of Claude Mythos 5.1's capabilities with METR, focusing on capabilities relevant to the automation of AI R&D.",https://www-cdn.anthropic.com/0339e6a7c5c7b87f5c07798616dc32c215d14235/Claude%20Fable%205.1%20&%20Claude%20Mythos%205.1%20System%20Card.pdf,"Card section 2.3.6 reproduces METR's findings; assessment based primarily on Anthropic-supplied info (scores on 212 benchmarks, questionnaire, interview). No standalone METR post found as of 2026-09-13."
E37,2026-09-03,OpenAI,GPT-6 Astra,not a partnership,,no,https://deploymentsafety.openai.com/gpt-6-astra/gpt-6-astra.pdf,,https://deploymentsafety.openai.com/gpt-6-astra/gpt-6-astra.pdf,GPT-6 Astra system card (Sep 3 2026) contains zero occurrences of 'METR'; no METR evaluation of Astra found as of 2026-09-13. Recorded so the absence is explicit.
E38,2026-09-09,Anthropic,Claude Mythos 5 / Opus 4.6 checkpoints (cyber-evaluation incidents),incident investigation,,yes,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,We have signed an agreement with METR to conduct an independent investigation of these incidents.,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Agreement: 'wide-ranging access, including to transcripts beyond the window ... and to Anthropic employees'; initial term eight weeks. Jul 30 2026 post https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals: 'in dialogue with METR ... to conduct a third-party review'. Fourth incident (Jan 2026, early Opus 4.6) found while assembling material for METR. No METR output yet. | audit S3 2026-09-14: investigators not named by Anthropic's Sep 9 page, METR's Sep 9 thread, Redwood's Sep 12 post or Graham's 'The 3 METR investigators' (IF71)."
