row_id,date,item,source,quote_or_fact,url,verification,grok_row,notes
DR20,2026-08-04,rule wording,Wayback metr.org/donate (this-run first donate employee phrase),'(METR cannot accept donations made by or at the direction of frontier AI company employees.)' First unique-digest donate 200 with the phrase (none between 20260703210324 and 20260804024601).,https://web.archive.org/web/20260804024601/https://metr.org/donate,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR20-*.html),FR20,
DR21,2026-08-04,rule wording,Wayback metr.org/about,'(Note: METR cannot accept donations made by or at the direction of frontier AI company employees.)' Company-funding line now 'significant free tokens' (was 'free compute credits' on 2026-07-19).,https://web.archive.org/web/20260804074910/https://metr.org/about,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR21-*.html),FR21,
DR22,2026-08-14,rule wording,METR blog Funding update,"'We have not accepted funding from these companies, and we do not accept donations made by or at the direction of their staff. However, frontier AI companies currently provide a significant amount of free tokens for our evaluations, research, and engineering.'",https://metr.org/blog/2026-08-14-funding-update/,verified 2026-09-14 (fr-verify/funding-update-20260814.html; Farhi named on the same page),FR22,
DR23,2026-08-14,METR statement,METR @METR_Evals 2088403782690623558,Same wording as the funding-update post: has not accepted funding from frontier AI companies and does not accept donations made by or at the direction of their staff; companies provide free tokens.,https://x.com/METR_Evals/status/2088403782690623558,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR23-*.html),FR23,
DR24,2026-08-26,METR statement,Elizabeth Barnes @BethMayBarnes 2092716475065008449,'We haven't taken any funding from OpenAI or other AI companies (although they provide us free model access for eval execution and research).' Quotes the about Funding note that METR cannot accept donations by or at the direction of frontier AI company employees.,https://x.com/BethMayBarnes/status/2092716475065008449,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR24-*.html),FR24,
DR25,2026-09-11,METR statement,Business Insider interview (Barnes/Painter; Stephen Council),"'While METR doesn't take money from the frontier AI labs or their employees, it accepts compute grants and works with them to analyze unreleased models.' Barnes: independence so research is not tied to a company's goals.",https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR25-*.html),FR25,
DR26,2026-09-14,Farhi affiliation,Computer History Museum profile live,"Still titled Technical Lead, OpenAI, with the 2018-join / 2019-lead / Minecraft and LLMs at OpenAI bio. No departure language on the live page.",https://computerhistory.org/profile/david-farhi/,audit-2: live CHM title confirmed; stale as employment evidence in light of DR36. No departure language on this specific profile is not evidence that no departure was reported elsewhere.,FR26,"audit-2 2026-09-14: was {""verification"": ""verified 2026-09-14 (fr-verify/chm-farhi.html)""}. See research/AUDIT-2.md and audit2-evidence/."
DR27,2026-09-14,other supporter,Epoch AI team page live,"Steve Newman listed on Epoch AI Board of directors (evaluator org, not a frontier lab). OpenReview lists him as Researcher, Golden Gate Institute for AI (2025-2026). No frontier-lab employment or board recovered.",https://epoch.ai/about/team,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR27-*.html),FR27,
DR28,2026-05-19,METR statement,"METR Frontier Risk Report, AEF-1 compliance section","""METR did not have an applicable personnel conflict of interest (CoI) policy in place at the start of this project, and as such we did not run a formal recusal or disclosures process ... this pilot was not compliant with all of the requirements of the AEF-1 standard ... Also note that some METR staff have strong social ties to employees of AI companies, and METR currently works out of a shared research center (Constellation) which hosts some AI lab staff.""",https://metr.org/blog/2026-05-19-frontier-risk-report/,verified 2026-09-14 (fr-verify/risk-report-20260519.html); found while checking FR15,,
DR29,2018-06 to 2025-07,Farhi affiliation,OpenAI papers and pages (Grok G5 lane FH01–FH10),"Listed with an OpenAI affiliation on OpenAI Five (2018), Dota 2 (2019), Minecraft (2021), Tensor Programs V (2022), GPT-4 report (2023), GPT-4o and o1 system cards (2024), o1 contributions page ""Supporting Leadership"" (2024), CoT monitoring papers (Mar and Jul 2025)",https://arxiv.org/abs/2507.11473,"FH10 refetched 2026-09-14 (fr-verify/arxiv-2507.11473.html: ""David Farhi"" in author list); others Grok G5",FH01–FH10,
DR30,2026-05-19,METR statement,"METR Frontier Risk Report, Table A.1 item 2.4, ""any other conflicts of interest""","""Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.""",https://metr.org/blog/2026-05-19-frontier-risk-report/,verified 2026-09-14 (research/fr-verify/risk-report-20260519.html; extracted to research/aef1.csv AE23),,
DR31,2026-05-19,METR statement,"METR Frontier Risk Report, Table A.1 items 2.4.2 and 2.6 note","""Note that METR's work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies.""",https://metr.org/blog/2026-05-19-frontier-risk-report/,"verified 2026-09-14 (research/aef1.csv AE19, AE25)",,
DR32,2026-05-19,METR statement,"METR Frontier Risk Report, footnote 5 and ""Silent exit"" section","""this pilot was not designed to provide robust accountability: We gave participants the option to exit silently from the pilot at any point"" ... ""we are not disclosing whether there were any companies that initially participated in the pilot and exited partway through.""",https://metr.org/blog/2026-05-19-frontier-risk-report/,"verified 2026-09-14 (research/agents-2026-09-14/S5-aef1/REPORT.md §3 items 14, 16)",,
DR33,2026-05-19,METR statement,"METR Frontier Risk Report, Table A.1 item 3.4 note","Participant companies did not have editorial control over the final public report, but did have control over what non-public information METR could incorporate into it. (Verbatim Table A.1 item 3.4 note, AE29; fulfilled Yes.)",https://metr.org/blog/2026-05-19-frontier-risk-report/,verified 2026-09-14 (research/aef1.csv AE29),,"audit-2 2026-09-14: was {""quote_or_fact"": ""Participant companies \""did not have editorial control over the final public report, but did have control over what non-public information could be included\"" (item 3.4, Yes)""}. See research/AUDIT-2.md and audit2-evidence/."
DR34,2025-12-16 to 2026-09-13,Farhi affiliation,"Wayback metr.org/about, 76 of 79 unique-digest captures fetched",All 76 recovered about-page captures in the cited 79-unique-digest sweep name David Farhi from 2025-12-16 through 2026-09-13. Three unrecovered captures cannot be classified; this is not a claim about every historical page state.,https://web.archive.org/web/2026*/https://metr.org/about,agent S1 sweep 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/cdx-sweep-flags.csv),,"audit-2 2026-09-14: was {""quote_or_fact"": ""David Farhi is named as an individual supporter on every about-page capture from 2025-12-16 through 2026-09-13; no capture drops him.""}. See research/AUDIT-2.md and audit2-evidence/."
DR35,2026-07-14 to 2026-07-19,rule wording,Wayback metr.org/about unique-digest sweep,The employee-ban sentence is absent from all 64 about captures before 20260719171236 and present from that capture on; on the donate page it is absent from 32 captures before 20260804024601.,https://web.archive.org/web/20260719171236/https://metr.org/about,agent S1 sweep 2026-09-14,,
DR36,2026-07-15,Farhi affiliation,"WIRED, Maxwell Zeff; includes Farhi statement",WIRED reports Farhi left OpenAI in summer 2025 after seven years. This contradicts treating a live CHM profile as proof of current employment.,https://www.wired.com/story/openai-employees-donations-guardrails-alliance-leading-the-future/,audit-2: article read directly; research/audit2-evidence/page-032.html,,"audit-2 2026-09-14: new contrary source; gift date and amount remain unknown. Departure timing is WIRED reporting, not an employer personnel record. | audit-2 2026-09-14: was {""verification"": ""audit-2: article read directly; research/audit2-evidence/page-033.html""}; corrected pointer against fetches.json."
DR37,2026-06-16,Farhi affiliation,"FEC Schedule A itemized receipt, Guardrails Alliance (C00949487), via api.open.fec.gov","FARHI, DAVID | SELF EMPLOYED | RESEARCH MANAGER | DALY CITY CA | $3,000 | 2026-06-16 | GUARDRAILS ALLIANCE",https://www.fec.gov/data/receipts/individual-contributions/?contributor_name=farhi%2C+david&two_year_transaction_period=2026,fetched 2026-09-14 (DEMO_KEY); payload research/fec/schedule_a_farhi_2025-26_fetched-2026-09-14.json,"G17 task A (WIRED ""$3,000 … July filing""); GROKREVIEW-C NF-01/L1","His self-reported employer on a federal record eleven months after the summer-2025 departure WIRED reported (DR36) is ""SELF EMPLOYED"", not OpenAI; occupation ""RESEARCH MANAGER"" matches WIRED's ""former OpenAI research manager"". Two 2026 receipts by a David Farhi of Burlingame CA (""NOT EMPLOYED"") to Friends of Mark Warner are not tied to him here. Guardrails Alliance is a super PAC first filed 2026-05-04."
