row_id,date,author_or_body,affiliation,venue,title,proposed_supervisor,proposed_examiner,names_metr,names_other_evaluators,url,quote
F11,2026-07-23,"Vinh X. Nguyen, Elham Tabassi, Kat Duffy",Council on Foreign Relations,CFR article,The U.S. Is About to Design an AI Regulator. Here's How to Get It Right.,SEC ('a FINRA-inspired body that reports to the SEC could be a reasonable answer'),"institutions with proven public-interest capacity, e.g. RAND paired with CDT, coordinating existing government/nonprofit/academic evaluators; MLCommons for shared infrastructure",no,RAND; Center for Democracy & Technology; MLCommons,https://www.cfr.org/articles/the-u-s-is-about-to-design-an-ai-regulator-heres-how-to-get-it-right,This is why the model evaluations themselves should be conducted by institutions with proven commitment and capacity to support the public interest.
F12,2026-07-30,Mark Thomas,Institute for Progress,Lawfare,Designing a FINRA for Frontier AI,"a new supervisor built around CAISI, kept in Commerce but split from NIST (SEC, FTC, FCC, Treasury rejected)",SRO examination staff (separate from test-design staff) audit developer practices; supervisor holds pre-deployment evaluation,no,,https://www.lawfaremedia.org/article/designing-a-finra-for-frontier-ai,"Enforcement staff—separate from the technical staff who design tests—would audit developer practices across the full model life cycle, including data selection, training, and post-deployment monitoring."
F13,2026-08-13,Kevin T. Frazier,Cato Institute (listed on Frazier's Cato people page),Cato at Liberty blog,Congress Cannot Copy and Paste FINRA into AI,a federal agency overseeing the SRO (critique of the model),accredited evaluators / independent technical organizations (critique: functions too broad to copy from FINRA),no,,https://www.cato.org/blog/congress-cannot-copy-paste-finra-ai,"Accredited evaluators could test frontier models before deployment, continue monitoring them after release, and audit whether labs followed required risk-management practices."
F14,2026-09-09,Chris Lehane / OpenAI,OpenAI,openai.com,The AI policy window is open. We need to act.,"Congress (mandatory, capability-based national AI safety regulation); state bills meanwhile","independent assessments by qualified, designated organizations (CA SB 813 / AB 1405 auditor standards); no named evaluator",no,,https://openai.com/index/ai-policy-window/,"Today, we are announcing our support for four California bills: SB 813 on overall infrastructure for independent safety assessments, AB 1405 on AI-auditor standards, SB 1119..., and AB 1864..."
F15,2026-09-09,Dwarkesh Patel,Dwarkesh Podcast (host),X post,reply thread on Project Tailwind / new AI safety orgs,not specified,"METR, by name, as the presumptive evaluator under a FINRA-for-AI",yes,Redwood Research (as co-investigator of the Hugging Face incident),https://x.com/dwarkesh_sp/status/2097707668920205580,"METR is a good example - if the FINRA for AI thing happens, it's likely they just tap a blade on each of METR's shoulders and ordain it 'the evaluator'."
F16,2026-09-12,Dario Amodei,Anthropic (CEO),personal site essay + X,We Must Pace the Frontier,governments asked to require other frontier companies to match; no supervisor specified,embedded third-party evaluators 'such as METR' with employee-like access,yes,,https://darioamodei.com/post/we-must-pace-the-frontier,"Each frontier AI company commits to giving ongoing, employee-like access to a team of embedded third-party evaluators (such as METR), whose role is to verify adherence to safety practices and commitments..."
F17,2026-09-12,Sam Altman,OpenAI (CEO),X post,reply to Amodei's Pace the Frontier,not specified,independent evaluators with employee-like access (unnamed); OpenAI 'will do the same',no,,https://x.com/sama/status/2098811563415150910,"Committing to having independent evaluators with employee-like access is a great idea, and we will do the same."
F18,2026-09-12,Terrence Hill (Tech Times) on Thune/Cruz/Klobuchar draft,U.S. Senate (bill being drafted; no text public),Tech Times report,"Thune, Cruz, and Klobuchar Move AI Safety From Voluntary Pledge to Legal Duty",government could block frontier model releases (agency not reported),not specified (duty-of-care liability; audits mentioned only for the House FRONTIER Act),no,,https://www.techtimes.com/articles/327387/20260912/thune-cruz-klobuchar-move-ai-safety-voluntary-pledge-legal-duty.htm,"Applied to AI developers, the standard would mean that companies are not merely required to publish safety frameworks or submit to audits — they are required to design their products to prevent catastrophic outcomes..."
F19,2026-09-13,David Sacks,former White House AI & crypto czar; PCAST co-chair,X post,response to Amodei / Altman pacing proposal,none (rejects a regulatory approval process),none (rejects METR as independent),yes,,https://x.com/DavidSacks/status/2098973625252708460,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. Stop pretending you need those same evaluators to police competitors who aren't even at the frontier.
F20,2026-09-13,Brady Knox,Washington Examiner,Washington Examiner,"Ex-Trump adviser backs self-imposed AI slowdown, rejects 'cartel' framework",none (reports Sacks rejecting approval process),reports Sacks disputing METR's independence,yes,,https://www.washingtonexaminer.com/policy/technology/4725242/david-sacks-ai-pacing-anthropic-openai-regulations/,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. [quoting Sacks]
F21,2026-09-03,Joseph Hoefer,(op-ed contributor),Washington Examiner op-ed,"Trump's FINRA for AI sounds odd, but it may be our best shot",Congress should name a federal supervisor (agency not specified),the private AI body (SRO) tests models and develops benchmarks; final word stays with government,no,,https://www.washingtonexaminer.com/op-eds/4710520/trump-finra-ai-regulation/,"A private AI body can test models, develop benchmarks, investigate failures, and recommend action. But it shouldn't have the final word on whether a company may build, release, or sell a model in the U.S."
F22,2026-09-10,Kevin T. Frazier,Cato Institute,Cato at Liberty blog,A Constitutional Yellow Light on a FINRA for AI,constitutional analysis; supervisor not proposed,not specified (notes 'insufficient supply of independent AI auditors'),no,,https://www.cato.org/blog/constitutional-yellow-light-finra-ai,...insufficient supply of independent AI auditors threatens to prevent the timely and thorough investigation of company practices...
