row_id,id,utc,handle,name,views,likes,bio_200,text_200
SK19,2099061496265253078,2026-09-13T09:03:54Z,EMostaque,Emad,20931,262,"Building first principles, sovereign AI @ii_posts. Founder @StabilityAI. Consistent inference is possible.",There is no slow down process outlined in the proposal either which is odd Training and scaling continue as is along with model releases Anthropic says the Chinese labs keep up by distilling which mea
SK20,2099138751205142561,2026-09-13T14:10:53Z,mirandadevine,Miranda Devine,17727,377,"Journalist, wife, mother, dog-lover. Truth-teller. @nypost @foxnews. Books: #LaptopFromHell #BigGuy. Podcast: Pod Force One https://link.chtbl.com/PFO",My money is on election-season psyop.
SK21,2099147563429720203,2026-09-13T14:45:54Z,stevesi,Steven Sinofsky,15804,144,Subscribe http://hardcoresoftware.learningbyshipping.com • seed investing • writing • ॐ •🙏• I use '—' and no AI to write • tweets saved 90 days • 📷,Please read this.
SK22,2099185129533186438,2026-09-13T17:15:10Z,DKokotajlo,Daniel Kokotajlo,15129,278,,We'll be able to tell if this is regulatory capture or not by whether the pace of progress at the frontier actually slows down (which would allow other companies to catch up). If a year from now we lo
SK23,2099155414092796300,2026-09-13T15:17:05Z,SullyCNBC,Brian Sullivan,14917,69,"CNBC TV (2p ET). Creator/author of weekly energy intelligence piece Power Insider. 50 states, 40 countries & counting. insta: BrianSullivan","Some politicians want to tell AI people what to do ... so the AI people are going to put it back on the politicians. I don't agree with it, but it's a smart PR tactic. If (when?) stock market sinks as"
SK24,2099111903821787307,2026-09-13T12:24:12Z,ParikPatelCFA,"Dr. Parik Patel, BA, CFA, ACCA Esq.",14526,203,"Aswath Damodaran 🙏🏾 Dhandho Investor Chapter 3:4 🐂 | God first, full employment second 😤 | Investor @SamosaCapital | Subscribe to my newsletter 👇🏾",@DavidSacks 🐐
SK25,2099129471638905218,2026-09-13T13:34:00Z,matthewstoller,Matt Stoller,14286,83,"Opinions my own Writer for BIG: https://www.thebignewsletter.com/ Co-host, Organized Money: https://www.organizedmoney.fm/ Researcher at AELP",Correct
SK26,2099084587502592340,2026-09-13T10:35:39Z,amuse,@amuse,13737,505,Independent Publisher & Political Commentator | Subscriber Only DMs,@DavidSacks @bgmasters Reminds me of the wealthy who claim they aren’t taxed enough. If you believe that cut a bigger check.
SK27,2099215095196717540,2026-09-13T19:14:14Z,burkov,BURKOV,11898,192,"Books: https://theLMbook.com & https://theMLbook.com App: https://ChapterPal.com PhD in AI, author of 📖 The Hundred-Page LMs Book & The Hundred-Page ML Book","The entire conversation about the dangers of building superintelligence (not a hypothetical one, but the one that will soon emerge from LLM scaling) is so ridiculous to me that I really wish I didn't "
SK28,2099166583411122216,2026-09-13T16:01:28Z,CGasparino,Charles Gasparino,11392,137,"Charles Gasparino is a FOX Biz Senior Correspondent, NY Post columnist & author of Go Woke Go Broke; The Inside Story of the Radicalization of Corporate America",great points by the great @DavidSacks
SK29,2099127704368910465,2026-09-13T13:26:59Z,nobbins2001,Rust Cohle,10626,329,,It’s notable that 10 hours later this post has 3M views and ~35K likes. The former AI Czar with a popular podcast and 1.7M followers on X who posts frequently. Yet some kid with 2 months of work exper
SK30,2099164387819049083,2026-09-13T15:52:45Z,alanchen,⧫ Alan Chen ⧫(alanchentsla.eth）,10247,33,"Ex-Amazon | Leader of 7,000+ Investors. 📊 Built a 400k+ audience. Now showing you how. SPCX| BTC | AI Tools & Wealth Skills. 🤖💰 I share what Wall St won't👇",Jason之后，all in pod的 Sacks来揭穿这几个人的内心的小99： Dario要pace the frontier，Sam也点头。我的立场很简单：你们自己慢，我支持。你们去求政府让全行业一起慢，我反对。
SK31,2099146931767242833,2026-09-13T14:43:23Z,seanspicer,Sean Spicer,9837,21,"Host, @SeanSpicerShow | Co-host, @thedchuddle | Founder RigWil consulting | Horrable speller | Subscribe at http://seanspicer.com",While I’m not a fan of government intervention this issue too important not to lead They are asking for guardrails
SK32,2099035870275711389,2026-09-13T07:22:04Z,EvanKirstel,Evan Kirstel #B2B #TechFluencer,9576,294,"TV host, Podcaster, Tech influencer, content creator, Industry Expert w/600K followers, focus on #Enterprise 💻 #Cloud ☁️#5G 📡#AI 🤖#Telecom ☎️ 🔑 #Cybersec",@DavidSacks
SK33,2099126379543461900,2026-09-13T13:21:43Z,politicalmath,PoIiMath,9197,187,"Author of A Misfit Highwire Act https://amzn.to/4uRgInh Marginally compelling & occasionally accurate, sometime writer, engineer, cake-baker",We so desperately need liability law to clarify exactly how to legally punish illegal agent actions
SK34,2099176680505974813,2026-09-13T16:41:36Z,MacaesBruno,Bruno Maçães,8604,41,"“Dawn of Eurasia” “Geopolitics for the End Time,” “Belt and Road,” “History Has Begun,” “Exit,” “In Search of Greater India” and the definitive “World Builders”",Good post
SK35,2099157503212658853,2026-09-13T15:25:23Z,lindayaX,Linda Yaccarino,7671,324,"CEO of eMed Population Health, Mom, foodie, fashion enthusiast, @penn_state alum, former CEO of X",@DavidSacks spot on! 🎯
SK36,2099130285778469260,2026-09-13T13:37:14Z,FistedFoucault,Niccolo Soldo (Fisted By Foucault),7253,103,"Importer/Exporter Oldtroon Eurofag 'lurid, rampaging monkey' - Gabrielle D'Annunzio Search 'limit' if interested.",This is an excellent mesaage
SK37,2099161431413494038,2026-09-13T15:41:00Z,KettlebellDan,Dan,6838,86,Hi I’m Dan a proud X employee and founder of the prestigious Kettlebell Krüe 🦾,"I don’t know what the next 10 years of AI will bring, no less the next 10 weeks But one thing is for sure, it will unfold here on 𝕏"
SK38,2099238835456508159,2026-09-13T20:48:35Z,p_ferragu,Pierre Ferragu,6822,33,Commenting on technology - no investment advice. Proud producer of http://www.bernadettethemusical.com,Nice one
SK39,2099146612060872924,2026-09-13T14:42:07Z,lthlnkso,Quick Thoughts,6583,136,"Politics, misinformation, logic, news, and AI.","An AI impersonating former US government AI Czar, argues that AI shouldn't be regulated."
SK40,2099034273235820566,2026-09-13T07:15:43Z,brivael,Brivael Le Pogam,6550,171,Argil AI (YC S24) CEO&CTO. My book : https://brivaellepogam.gumroad.com/l/theshiftingwall Freedom fighter.,@DavidSacks 🎯
SK41,2099126145547677807,2026-09-13T13:20:47Z,Fa1ryNight,𝒯𝓈𝓊𝓀𝒾 ☭⃠,6449,205,"Não acredite em tudo em que seus olhos veem e seus ouvidos escutam, a verdade muitas vezes está escondida no silêncio. Ps: Não participo de SDV.",Em um resumo bem direto: parem de usar as pessoas por interesses próprios e vender isso como altruísmo.
SK42,2099015815542522290,2026-09-13T06:02:22Z,LLMJunky,am.will,6435,127,StarSwap // Lynk // GooeyPi // DevX Director of n number of agents Slopet League Grand Champion 🏆 DevRel @nutrientdocs,@DavidSacks Is your hand ok? 🔥
SK43,2099175683448819750,2026-09-13T16:37:38Z,JasonZX,Jason Z,6260,26,连续创业，2013年开始收割TSLA，用常识，不带感情投资其他公司，通过交易放松。,David Sacks对今天Dario的限速论的评价值得一看，简单总结几条供大家参考： 1.OpenAI和 Anthropic本身就是前沿AI的主导者，如果真认为风险太高，完全可以自行减速，不需要等政府或同行批准。 2.Dario和Sam不应把“限速”包装成必须全行业协调的公共安全方案，否则容易演变成借安全之名推动一套行业统一规则，这套规则最终可能巩固OpenAI和Anthropic现有的领先地位
SK44,2099031774479135017,2026-09-13T07:05:47Z,mark_k,Mark Kretschmann,6056,196,"AI & Software Engineering | Practical insights on AI, code, fitness & e/acc • Accelerating the future","@DavidSacks Based. You are the voice of reason, David!"
SK45,2099035911677735339,2026-09-13T07:22:14Z,EvanKirstel,Evan Kirstel #B2B #TechFluencer,6032,143,"TV host, Podcaster, Tech influencer, content creator, Industry Expert w/600K followers, focus on #Enterprise 💻 #Cloud ☁️#5G 📡#AI 🤖#Telecom ☎️ 🔑 #Cybersec",@DavidSacks
SK46,2099146112427020576,2026-09-13T14:40:08Z,yuyy614893671,金融汪,5585,26,油管频道：金融汪 ，网址：https://www.youtube.com/@shijiejinrongwang 金融市场老兵，观察和理解这个世界每天在发生着什么，是我的兴趣也是工作。X上的内容只是分享，不是投资建议。,“但别再假装你们需要任何其他人的许可。别再假装反垄断法必须被暂停，以便你们形成卡特尔。别再假装你们需要一个凌驾于产品责任之上的监管审批流程。别再假装 METR 是独立的，当它与 Anthropic 的投资者和员工纠缠在一起时。别再假装你们需要那些相同的评估者来监管那些甚至还没达到前沿的竞争对手。 最重要的是，别再假装放慢速度的动机纯粹是利他主义的。如果你们的产品促成了一次真正破坏性的网络攻击，你们
SK47,2099126875410800834,2026-09-13T13:23:41Z,joellthayer,Joel Thayer,5447,32,"A “Washington-based Republican lawyer,” per @WSJ. President of @DigitalProInst. Senior Fellow on AI at @A1Policy.",This is correct. The idea that these frontier models need the government’s permission to slow down is nonsense. They are free to do so. That does not give them a license to break our antitrust laws. S
SK48,2099084410280636811,2026-09-13T10:34:57Z,amuse,@amuse,5162,103,Independent Publisher & Political Commentator | Subscriber Only DMs,@DavidSacks @bgmasters Good point.
SK49,2099224756038033415,2026-09-13T19:52:38Z,Grimezsz,𝖦𝗋𝗂𝗆𝖾𝗌 ⏳,4962,122,�︎,@DavidSacks 🙏🏻
SK50,2098992959987347896,2026-09-13T04:31:33Z,Obliquist_,Oblikia,4743,78,Protean: trading. Long: vol,"@DavidSacks “Our product may destroy civilization, so please regulate our competitors.” Convenient."
SK51,2099002875049341347,2026-09-13T05:10:57Z,UnsettledGreg,Greg Wilk,4700,114,Building @fuseenergy as CTO. Energy is an engineering problem.,"@DavidSacks In moments like these, I’m glad NVIDIA has a vested interest in open source."
SK52,2099096248082915433,2026-09-13T11:21:59Z,goldstein2002,Al Goldstein,4468,35,"Lifelong entrepreneur, father and husband, Immigrant, co-founder and CEO @ Avant, Stoiclane, Forged in America podcast, https://grokipedia.com/page/al-goldstein",@DavidSacks Well said by @DavidSacks.... We need people like him to continue to duel what's going on for our leaders. Stop buying into the fear porn... It's never been right and always leads to more g
SK53,2099149575785201770,2026-09-13T14:53:53Z,justalexoki,taoki,4422,181,the worlds most favored sloth,never thought I'd retweet an all in guy but I mean yeah he's entirely correct why don't anthropic and openai just slow down if that's what they want? why do they need it regulated?
SK54,2099035836696142172,2026-09-13T07:21:56Z,EvanKirstel,Evan Kirstel #B2B #TechFluencer,3997,98,"TV host, Podcaster, Tech influencer, content creator, Industry Expert w/600K followers, focus on #Enterprise 💻 #Cloud ☁️#5G 📡#AI 🤖#Telecom ☎️ 🔑 #Cybersec",@DavidSacks
SK55,2098994739227844697,2026-09-13T04:38:37Z,Leishman,Alexander Leishman 🇺🇸,3323,76,Founder @River. #Bitcoin. Keeping the fire of human liberty shining bright 🔥,@DavidSacks @JimmyKostro Well said
SK56,2099220766504222732,2026-09-13T19:36:47Z,Scott_Wiener,Senator Scott Wiener,3318,48,"6’7” CA State Senator 🏳️‍🌈 ✡️ Policy nerd & chronic legislative overachiever 🤓 Running for Congress to protect our democracy 💙 Vote Nov. 3, 2026 🗳️",Yes the AI labs have major responsibility here. But so does the government. This post is just rationalization for the government doing nothing and the AI arms race — with the danger it brings — contin
SK57,2099092658622730244,2026-09-13T11:07:43Z,Evan_ss6,Evanss6,3308,64,"Study, lessons in there / *NOT INVESTMENT ADVICE* Grass toucher, Hedgoooor Unbothered, objective There is no need to be upset. Very serious account",@DavidSacks great post David wow
SK58,2099166170792214871,2026-09-13T15:59:50Z,MsMelChen,Melissa Chen,3193,102,VP @strategyrisks | Board + co-founder @IdeasB2 | Board @envprogress | 🇸🇬 🇺🇸 🇬🇧 | ✍️ The Spectator & elsewhere | Email: melissa@thespectator.com,@DavidSacks Once again SacksyPoo is correct!
SK59,2099183758784225359,2026-09-13T17:09:43Z,billbar,Bill Barhydt,3179,23,"CEO Abra, Founder AbraFi",If you think China is going to voluntarily slow down you’re crazy. We need to keep the government out of AI at ALL costs
SK60,2099152964615061876,2026-09-13T15:07:21Z,inductionheads,Super Dario,3067,48,the only way out is up,We don’t need regulation. We need labs to have to internalize their externalities. If their products or development hurt people or cause damage they have to pay for it. Safety will come so quick will 
SK61,2099151318585675869,2026-09-13T15:00:49Z,pwang,Peter Wang 🦋,2988,24,"Chief AI & Co-founder @AnacondaInc; invented @pyscript_dev, @PyData @Bokeh @Datashader. Former physicist. A student of the human condition. bsky: @wang.social","""Stop pretending antitrust law has to be suspended so you can form a cartel."" It's true, they can just violate the law and then the president will sell them pardons post hoc, right? Maybe for 20% stak"
SK62,2099213660287914324,2026-09-13T19:08:32Z,rohanpaul_ai,Rohan Paul,2921,17,"Compiling in real-time, the race towards AGI. 🗞️ Get my daily AI analysis newsletter to your email 👉 https://www.rohan-paul.com",🎯💯
SK63,2099250910614696205,2026-09-13T21:36:33Z,NaveenGRao,Naveen Rao,2782,28,CEO @unconvai. Former CEO MosaicML/Databricks & Nervana/IntelAI. Neuro + CS. I like to build stuff that will eventually learn how to build other stuff.,Masterclass in poker. It’s time to “call”. It’s only way to see if there’s a bluff
SK64,2099013121717252409,2026-09-13T05:51:40Z,WalkerAmerica,Walker⚡️,2775,80,THE #Bitcoin Podcast @TitcoinPodcast | @Sov_Garden | #nostr: http://primal.net/walker | better half: @carlabitcoin,@DavidSacks Bingo. Well said.
SK65,2099083732200374428,2026-09-13T10:32:15Z,jenzhuscott,Jen Zhu,2724,31,"Cofounder/CEO, Power Dynamics (AIDC cooling tech + ESS) | Cofounder, Tech Fellowship & Moderator of Socratic seminars @AspenInstitute. Elegansia Confianza.",@DavidSacks You rock @DavidSacks 🫶
SK66,2099116815481762229,2026-09-13T12:43:43Z,Maxcardoso,Max Cardoso,2204,67,Jornalista conservador independente. Formado em Filosofia e Teologia. Católico. Casado.,@DavidSacks Finally someone with sense in this discussion. Thank you for this post.
SK67,2099196067589791884,2026-09-13T17:58:38Z,AtrakcyjnyAdam,Adam,2096,19,Dla nieznajomych Adam pansexual - pan/pana,roma locuta causa finita koniec świata odwołany
SK68,2099161743536918569,2026-09-13T15:42:14Z,therealchaseeb,chase,2081,21,"👾accelerating founders @SolanaFndn 👾 meme quant & culture shaman 👾 Mentor @SuperteamTH 👾 here for a long time, not for a good time 👾",Yes
SK69,2099170336809849312,2026-09-13T16:16:23Z,xerocooleth,xero 🎮,2053,21,Memes & Satire | Not financial advice | Not selling any service,Dario has to stop pretending AI is a threat If Anthropic really thinks AI threatens humanity then they should just stop development or quarantine it Agree with David that he doesn't need permission Th
SK70,2099107150685483029,2026-09-13T12:05:18Z,jimpfaff,Jim Pfaff,2035,49,"President, The Conservative Caucus. @TCCaucus. http://www.TheConservativeCaucus.org. Married to @MyraKinser 🇺🇸🇺🇸🇺🇸 2️⃣2️⃣ 🇧🇷🇮🇪",@DavidSacks @TheChiefNerd The foundation of liberty is reliance upon the principle of self-governance. Every effort to expand the authority of the state is an admission of one's own lack of self-contr
SK71,2099129041957613941,2026-09-13T13:32:18Z,paulbrigner,Paul Brigner 🛡️,2017,40,"Chief Policy & Regulatory Officer, Zodl | Founder of PGP* for Crypto",.@DavidSacks is spot on. This is clearly regulatory capture strategies at work. Very disappointing.
SK72,2099001558767710717,2026-09-13T05:05:43Z,Airte747,Ken,1988,55,"U.S Army OIF Vet, 13M, proficient in 4 languages, investor, Airframe technician. Everything that has a beginning has an end Neo.",@DavidSacks @farzyness You know who else full heartedly agree with the slow down? China.
SK73,2099123209777918095,2026-09-13T13:09:07Z,opropriofaka,Faka 🇧🇷🇧🇷🇮🇱🇺🇸🇱🇧,1927,53,"Otávio Fakhoury, empresário, investidor e ex-executivo de mercado financeiro.","@DavidSacks True. There is alot of ""pretending"" going on. I would add another item to this list: Capital is gone & AI advancements have slowed. Now, billionaires need to use government constraints as "
SK74,2099021561579852128,2026-09-13T06:25:12Z,SebaTheOracle,Cody Peterson,1696,107,Author. Builder. Construction guy. I’m building Sebastian—an AI that reads 500+ held works from Homer to Hillman and shows its sources.,@bpodgursky @DavidSacks Laughable that you can’t decide for yourself if the statement is worth a read. People like you deserve to get left behind. Hey AI—was this written by AI. Please tell me so i ca
SK75,2099203099600506899,2026-09-13T18:26:34Z,bumbadum14,bumbadum,1632,63,Heritage American. Schizophrenic journal posting. Anti-Fat Nationalist. Musings of a White man Officially* Sponsored by Capital One Venture X,Sacks is correct and anyone thinking otherwise isn’t smart enough to see what is happening and should check out. They want regulatory capture of the market.
SK76,2099145258043142153,2026-09-13T14:36:44Z,ColeMacro,Matt Cole,1596,26,"Chairman & CEO @Strive Christ, Liberty, Bitcoin $ASST $SATA @hurdleratepod",@DavidSacks 🔥
SK77,2099110631580279274,2026-09-13T12:19:08Z,Real_A_R_,𝕏 Real AR 𝕏,1557,22,Casual Investigator | Terafab | SpaceX | xAI | Neuralink | Protect Kids & Animals | Elephants are cool | Veteran | Posts=Educational,"I'm leaning toward ""an election-season psyop."" Good grief. First they complain that government regulation would stifle AI development, and now they want government involvement. None of us can see what"
SK78,2099119205060641184,2026-09-13T12:53:12Z,Laughing_Mantis,Greg Linares (Laughing Mantis),1418,24,20+ yrs in Infosec. Malware Influencer. I turn Malware into Art and Music. Art @MalwareArt. 4x Pwnie Nominee. 𝕍𝕏. GameDev. Autistic.,@DavidSacks To add to this please let us veterans in cybersecurity at the table and provide input and help guide and evaluate claims. We are getting nothing but pushback and silence
SK79,2099180998869037424,2026-09-13T16:58:45Z,LuizaJarovsky,"Luiza Jarovsky, PhD",1327,29,"Co-founder of the https://www.aitechprivacy.com (1,500+ participants). Author of https://www.luizasnewsletter.com (100,000+ subscribers). Mother of 3.","We are living in an AI safety theater, and this must stop:"
SK80,2099104133223764305,2026-09-13T11:53:19Z,JosephJacks_,JJ,1287,15,,"@DavidSacks Thank you, David."
SK81,2099144006441824658,2026-09-13T14:31:46Z,Yixiong_Hao,Yixiong Hao,1268,22,"trying to make AI go well. grantmaker, head of strategy @secondlookxlab. Past: @GraySwanAI, @cais, @uchicagoxlab, http://aisi.dev. @gtcomputing","@DavidSacks ‘Hey Claude, come up what whatever bullshit to make Anthropic and the AI safety people look bad because I don’t like them 😡 grrr’"
SK82,2099105229002195074,2026-09-13T11:57:40Z,ducavendish,E. Cavendish,1220,17,Economia | Criptoativos | Política | Esportes | AI & Tech🦾 | KVIA & RiquezIA Podemos retomar o caminho da prosperidade. 🚀🇧🇷,@DavidSacks Nailed it.
SK83,2099189696920166910,2026-09-13T17:33:19Z,caseybmulligan,caseybmulligan,1189,21,"You're Hired! Untold Successes and Failures of a Populist President is ""an insightful, honest, book A MUST READ for anyone interested in the Trump White House""","""Stop pretending antitrust law has to be suspended so you can form a cartel. Stop pretending you need a regulatory approval process that supersedes product liability."""
SK84,2099068658681008486,2026-09-13T09:32:21Z,ecce_michael,ecce michael,1067,48,"Vocatus atque non vocatus, Deus aderit.",@AkalStation @DavidSacks The reason they block biology on Fable isn't safety. It's because the answers could have commercial value and they'd rather keep that value for themselves. These AI people are
SK85,2099146051970310534,2026-09-13T14:39:53Z,lthlnkso,Quick Thoughts,1011,20,"Politics, misinformation, logic, news, and AI.",@DavidSacks hey @pangram is this slop?
SK86,2099141748878410237,2026-09-13T14:22:47Z,valkenburgh,Peter Van Valkenburgh,1001,16,Executive Director @CoinCenter | “Writing a description for this thing for general audiences is bloody hard. There's nothing to relate it to.” Satoshi Nakamoto,@DavidSacks
