row_id,date,lab,document_title,document_url,quote,notes
L11,2025-02-20,xAI,xAI Risk Management Framework (Draft),https://x.ai/documents/2025.02.20-RMF-Draft.pdf,not found,"URL returns HTML/redirect, not the PDF (the 2025.02.10 draft is 404). Later versions checked instead: see L12/L13."
L12,2025-04,OpenAI,Preparedness Framework Version 2,https://cdn.openai.com/pdf/18a02b5d-6b67-4cec-ab64-68cdfbddebcd/preparedness-framework-v2.pdf,not found,Zero occurrences of 'METR' in the PDF text.
L13,2025-07-07,Amazon,Evaluating the Critical Risks of Amazon's Nova Premier under the Frontier Model Safety Framework,https://arxiv.org/pdf/2507.06260,"We share input prompts and corresponding model outputs with third-party assessors (e.g., Nemesys, METR) to obtain their final assessment of whether the model is safe and remains within the defined thresholds for public release.",Names METR as designated third-party assessor for Automated AI R&D under Amazon's FMSF; substitute evidence for the unreachable FMSF PDF.
L14,2025-08-20,xAI,xAI Risk Management Framework,https://data.x.ai/2025-08-20-xai-risk-management-framework.pdf,not found,Zero occurrences of 'METR'.
L15,2025-12-30,xAI,xAI Frontier Artificial Intelligence Framework,https://data.x.ai/2025-12-31-xai-frontier-artificial-intelligence-framework.pdf,not found,Zero occurrences of 'METR'.
L16,2026-01-27,Amazon,Evaluating Nova 2.0 Lite model under Amazon's Frontier Model Safety Framework,https://arxiv.org/pdf/2601.19134,"Independent auditors (Nemesys Insights for CBRN and Model Evaluation and Threat Research (METR) for Automated AI R&D) reviewed results on test sets, scoring rubrics, and safety-judge notes to verify our internal findings.",Names METR as independent auditor; METR's assessment text embedded in paper.
L17,2026-04-02,Anthropic,"Responsible Scaling Policy v3.1 (and v3.2, v3.3, v3.4 through Jul 8 2026)",https://www-cdn.anthropic.com/files/4zrzovbb/website/bf04581e4f329735fd90634f6a1962c13c0bd351.pdf,not found,"RSP v3.x no longer names METR or ARC Evals (0 hits in v3.1, v3.2, v3.3, v3.4 PDFs from anthropic.com/responsible-scaling-policy)."
L18,2026-05-26,Anthropic,Risk Report: February 2026 (change log),https://www-cdn.anthropic.com/f4294ebe6210558c62226f44bd5c716f9cb80add/Redacted%20Risk%20Report%20Feb%202026.pdf,"We revised language that a pilot external review from METR had highlighted as in need of improvement, regarding the internal model use survey discussed in section 3.4.",Names METR as pilot external reviewer of the Opus 4.6 risk report.
L19,2026-08,Anthropic,Risk Report: August 2026,https://www-cdn.anthropic.com/f61d49fa5596956a5dec75fea0e973bf6a6a8378/Redacted%20Risk%20Report%20August%202026%20.pdf,"we have continued to conduct pilot external reviews (e.g. with METR here for the AI R&D section of our previous Risk Report, and SecureBio here for its chemical and biological risk sections)",Also cites METR's Frontier Risk Report repeatedly (14 'METR' occurrences).
L20,2026-09-09,Anthropic,An alignment assessment of recent cybersecurity incidents,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,We have signed an agreement with METR to conduct an independent investigation of these incidents.,Designates METR as independent investigator; 'wide-ranging access'; initial eight-week term (fetched via WebFetch).
L21,2026-04-07,Meta,Advanced AI Scaling Framework v2 (replaces Frontier AI Framework v1.1),https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2,"not found (zero ""METR"", zero ""Frontier Risk Report"" in 44 pp)",Wayback raw captures 2026-04-08 and 2026-09-10 (agents-2026-09-14/S3-lab-docs/docs/); agent S3
L22,"2025 (service card, current 2026-09-14)",Amazon,"AWS AI Service Card: Amazon Nova Micro, Lite, Pro, Premier",https://docs.aws.amazon.com/ai/responsible-ai/nova-micro-lite-pro/overview.html,"""independent review by METR"" (Automated AI R&D)",agent S3 2026-09-14
L23,2025-12 (Nova 2 technical report),Amazon,Amazon Nova 2 technical report,https://cdn.amazon.science/c5/3d/84514a224666b5be6de4b43ef4aa/nova-2-0-technical-report2.pdf,"""Current assessments with METR concluded that Nova 2 does not meet the critical threshold for automated AI R&D"" (p.13)",agent S3 2026-09-14
L24,2026-08,Google DeepMind,Gemini 3.7 Flash Frontier Safety Framework report (41 pp),(see agents-2026-09-14/S3-lab-docs/findings.csv for URL),"not found; ""UK AISI and Redwood Research"" named as external advisors (p.35)",agent S3 2026-09-14
