row_id,utc,actor,role,venue,event,names_metr,metr_language,views,url,source_note,notes
IF11,2026-09-12 14:47,Ben Recht (@beenwrekt),UC Berkeley professor,X post,Mocks the idea that METR counts as a third party.,yes,I love that AI companies have decided METR should count as a third party.,105675,https://x.com/beenwrekt/status/2098785507581043112,x-payloads/2098785507581043112.json,
IF12,2026-09-12 15:01,Elon Musk (@elonmusk),xAI CEO,X post,Quote-posts Amodei: 'Dario is right'.,no,,10883514,https://x.com/elonmusk/status/2098789109980332057,x-payloads/2098789109980332057.json,
IF13,2026-09-12 15:08,Clement Delangue (@ClementDelangue),Hugging Face CEO,X post,Launches Open Alignment Initiative (led by Thomas Wolf) and asks to be part of Anthropic's embedded-evaluators program.,no,asking to be part of the 'embedded evaluators' program that @DarioAmodei just committed to.,378966,https://x.com/ClementDelangue/status/2098790988034580852,x-payloads/2098790988034580852.json,
IF14,2026-09-12 15:17,Heidy Khlaaf (@HeidyKhlaaf),AI Now Institute chief AI scientist,X post,Calls naming METR 'regulatory capture'; says METR is ideologically and financially tied and uses unscientific methods.,yes,"Here they promote METR, a 'voluntary' third-party auditor that is not only ideologically and financially tied, but carries out their audits through unscientific means such as 'CoT'",62414,https://x.com/HeidyKhlaaf/status/2098793207848927503,x-payloads/2098793207848927503.json; later embedded by Gary Marcus,
IF15,2026-09-12 15:27,Redwood Research (@redwood_ai),alignment nonprofit,X post,Discloses that several Redwood staff are subcontracted by METR on the Anthropic investigation; endorses independent investigation.,yes,Several staff from Redwood have been subcontracted by METR to work on this investigation.,95840,https://x.com/redwood_ai/status/2098795673248550984,x-payloads/2098795673248550984.json,
IF16,2026-09-12 16:24,Thomas Wolf (@Thom_Wolf),Hugging Face co-founder,X post,Agrees third-party evaluators are a great idea; doubts cooperation built on 'widening your own lead'.,no,"Third-party evaluators, if done right, are a great idea and an amazing way to establish more transparency.",58792,https://x.com/Thom_Wolf/status/2098810070423216324,x-payloads/2098810070423216324.json,
IF17,2026-09-12 16:30,Sam Altman (@sama),OpenAI CEO,X post,Quote-posts Amodei: OpenAI will also commit to independent evaluators with employee-like access; 'more to share soon'. Names no evaluator.,no,"Committing to having independent evaluators with employee-like access is a great idea, and we will do the same. We'll have more to share soon.",15483235,https://x.com/sama/status/2098811563415150910,x-payloads/2098811563415150910.json,
IF18,2026-09-12 19:09,Sriram Krishnan (@sriramk),former White House senior AI policy adviser,X post,Calls for a distributed ecosystem of independent evaluators and funding several efforts (implicitly not one anointed evaluator).,no,think it's important that we have a distributed ecosystem of indepedent evaluators... it would be a good idea to fund several efforts on this.,210050,https://x.com/sriramk/status/2098851577050046478,x-payloads/2098851577050046478.json,
IF19,2026-09-12 21:24,Josiah Lippincott (@jlippincott),writer,X post,"Quote-posts Joe Benton: METR is 'not independent', an 'extreme AI safetyist/effective altruist' group.",yes,METR is not independent. They are one of the most extreme AI safetyist/effective altruist (but I repeat myself) groups in Silicon Valley.,33531,https://x.com/jlippincott/status/2098885423829225563,x-payloads/2098885423829225563.json; embedded by Gary Marcus,
IF20,2026-09-12 22:59,Demis Hassabis (@demishassabis),Google DeepMind CEO,X post,"Backs the direction of Amodei's essay, points to DeepMind's proposed industry-wide standards body.",no,,1204700,https://x.com/demishassabis/status/2098909516582490602,x-payloads/2098909516582490602.json,
IF21,2026-09-12,TechCrunch,press,press,Report on the essay; names METR as the example embedded evaluator; no description of METR's funding.,yes,Amodei's proposed first step would involve 'embedded evaluators' from third-party organizations like METR,,https://techcrunch.com/2026/09/12/anthropic-ceo-outlines-plan-to-pace-the-frontier/,independence/techcrunch-0912.txt; METR count 1; no funding language,
IF22,2026-09-12,Axios,press,press,"'Anthropic, OpenAI CEOs call for slowdown in AI development'; describes 'external evaluators'; no METR mention.",no,,,https://www.axios.com/2026/09/12/anthropic-ai-amodei-pacing,independence/axios-0912.txt via r.jina.ai (direct 403),
IF23,2026-09-12,"Bloomberg (Kevin Whitelaw, Seth Fiegerman)",press,press,"'Amodei, Altman, Musk Call for Slowing Development of AI Models'; mentions third-party evaluators; no METR mention; no funding language.",no,,,https://news.bloomberglaw.com/tech-and-telecom-law/amodei-altman-musk-call-for-slowing-development-of-ai-models,bloomberg.com 403; text via Bloomberg Law (updated 2026-09-13 00:09 UTC) and Spokesman-Review syndication (independence/spokesman-bloomberg.txt),
IF24,2026-09-12 20:47,Washington Post,press,press,'Top AI leaders unite to warn the technology is advancing too fast' (4:47 pm EDT); retrievable text has no METR/Sacks mention (remainder paywalled).,no,,,https://www.washingtonpost.com/technology/2026/09/12/anthropic-ceo-dario-amodei-calls-ai-industry-slow-down/,independence/wapo-0912.txt via r.jina.ai (direct fetch failed),
IF25,2026-09-12,CNBC / NBC News / Washington Examiner ('AI giants rally'),press,press,Same-day reports on the essay and Altman/Musk backing; none mentions METR.,no,,,https://www.cnbc.com/2026/09/12/anthropics-amodei-proposes-plan-to-slow-the-pace-of-advancing-ai-capabilities.html,also https://www.nbcnews.com/news/us-news/anthropic-ceo-dario-amodei-ai-development-rcna597383 and https://www.washingtonexaminer.com/policy/technology/4725070/ai-giants-amodei-essay/; METR count 0 in all three,
IF26,2026-09-12,Semafor,press,press,'How the AI apocalypse story escaped containment'; discusses independent evaluators as philanthropists' 'free labor' and the risk evaluators tell a lab to shut down; no METR mention.,no,"Why wouldn't AI companies invite independent evaluators in to help? If philanthropists want to provide free labor, why put up a fight?",,https://www.semafor.com/article/09/12/2026/how-the-ai-apocalypse-story-escaped-containment,independence/semafor-0912.txt,
IF27,2026-09-12,Kingy AI (blog),press,press,"Fact-check of Sacks's post; the only piece found that discusses METR's funding specifically: notes Schmidt Sciences among METR supporters and Eric Schmidt as a 2021 Anthropic investor, and cites METR's August funding update saying it takes no frontier-lab money but receives free tokens.",yes,METR lists Schmidt Sciences among its supporters ... Anthropic named Eric Schmidt as an investor in its 2021 financing ... says it has not accepted funding from frontier AI companies,,https://kingy.ai/blog/david-sacks-ai-slowdown-frontier/,independence/kingy-sacks.txt; page dated Sep 12 2026 (US local; Sacks posted 03:14 UTC Sep 13),
IF28,2026-09-13 03:14,David Sacks (@DavidSacks),PCAST co-chair; former White House AI & crypto czar,X post,"Tells Amodei and Altman to 'go ahead' and pace unilaterally; rejects antitrust waiver, approval regime, and METR's independence; full 2,152-char text is in the fxtwitter payload (not truncated).",yes,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. Stop pretending you need those same evaluators to police competitors who aren't even at the frontier.,7133727,https://x.com/DavidSacks/status/2098973625252708460,x-payloads/2098973625252708460.json; is_note_tweet; names no funder,
IF29,2026-09-13,Brady Knox / Washington Examiner,press,press,"Reports Sacks's post; quotes the METR sentence verbatim; offers no independent description of METR's funding, but links the week to Parker Thayer/Kevin Bass claims about Coefficient Giving and Coxon.",yes,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. [quoting Sacks],,https://www.washingtonexaminer.com/policy/technology/4725242/david-sacks-ai-pacing-anthropic-openai-regulations/,finra_proposals.csv F20; independence/washex-knox.txt,AUTHOR NOTE: the Examiner links the week to claims by the author of this slice (Kevin Bass) about Coefficient Giving and Coxon; those claims are not used as sources anywhere in research/
IF30,2026-09-13 13:59,Axios,press,press,'AI's most powerful CEOs hit the brakes' and 'Johnson calls for AI solutions but says Congress won't take the lead'; Sacks's post cited as the counterargument; no METR mention.,no,,,https://www.axios.com/2026/09/13/ai-labs-regulation-safety,independence/axios-0913.txt and axios-0913-johnson.txt via r.jina.ai,
IF31,2026-09-13 13:59,Bloomberg,press,press,'Trump Downplays AI Concerns as CEOs Call for Slowing Technology' (Doonbeg remarks); no METR mention.,no,,,https://www.bloomberg.com/news/articles/2026-09-13/trump-downplays-ai-concerns-as-ceos-call-for-slowing-technology,independence/bloomberg-0913-trump.txt via r.jina.ai (gift-link direct 403),
IF32,2026-09-13 14:28,Reuters,press,press,"'Trump says very negative forces raising exaggerated concerns over AI'; no METR mention (Reuters X post 409,476 views).",no,,,https://reut.rs/4dd0Zs0,independence/reuters-0913-trump.txt via r.jina.ai; x-payloads/2099146122723799482.json,
IF33,2026-09-13 14:50,Matt Stoller (@matthewstoller),antitrust writer,X post,Calls the slowdown panic 'an obvious ruse to end Anthropic's cash burn'.,no,,8385,https://x.com/matthewstoller/status/2099148649091465466,x-payloads/2099148649091465466.json,"DELETED: post returned 404 at the 2026-09-14 02:07 fxtwitter recheck while the account remained live; text and 8,385 views rest on the archived payload research/x-payloads/2099148649091465466.json captured 2026-09-13"
IF34,2026-09-13 15:20,The Next Web,press,press,'Trump's former AI czar tells Anthropic and OpenAI to slow down...'; restates Sacks's METR claim; no funder named.,yes,"He also questioned the independence of METR, the evaluator Anthropic uses, saying it is intertwined with the company's investors and staff.",,https://thenextweb.com/news/sacks-pacing-frontier-eu-liability,independence/tnw-sacks2.txt,
IF35,2026-09-13 15:31,Washington Post,press,press,'Trump resists AI slowdown as the political tide turns'; no METR mention.,no,,,https://www.washingtonpost.com/politics/2026/09/13/trump-rejects-calls-so-slow-ai-development-citing-chinese-competition/,independence/wapo-0913-trump.txt via r.jina.ai,
IF36,2026-09-13 16:24,The Stack,press,press,"'Altman, Amodei, Musk call for AI slowdown as Hugging Face warns over closed doors'; calls METR 'little-known', reports a 'furious backlash', quotes cybersecurity veteran Greg Linares; no funding description.",yes,Both Anthropic and OpenAI's use of the little-known non-profit METR to conduct incident reviews ... have met with a furious backlash in some quarters.,,https://www.thestack.technology/altman-amodei-musk-call-for-ai-slowdown-as-hugging-face-warns-over-closed-doors/,independence/thestack-hf.txt; Linares X post ID not found (search),
IF37,2026-09-13,Gary Marcus (Substack),press,essay,'Two cheers (out of three) for Dario Amodei'; says METR is 'in the same orbit as the AI companies' and 'creatures of the Valley'; embeds Khlaaf and Lippincott posts; no specific funder named.,yes,he points to a group called METR that is very much in the same orbit as the AI companies themselves ... Dropping METR's name is a form of regulatory capture,,https://garymarcus.substack.com/p/two-cheers-out-of-three-for-dario,independence/marcus-twocheers.txt,
IF38,2026-09-13,CDM (cdm.press),press,press,Paraphrases Sacks: evaluators 'deeply embroiled in Anthropic's funding network'; its Sacks quotation differs from the actual post text; no funder named.,yes,the required evaluators that Amodei is pushing for are deeply embroiled in Anthropic's funding network,,https://cdm.press/news/business/2026/09/13/amodei-altman-and-musk-all-want-to-slow-down-ai-david-sacks-says-they-are-building-a-cartel/,independence/cdm-sacks.txt; quote as rendered by CDM is not verbatim Sacks,
IF39,2026-09-13,TechPolicy.Press (Justin Hendrix),press,press,"Sunday newsletter 'Pace the Frontier, They Say. But Who Sets the Pace?'; quotes Sacks's METR sentence; no funding description.",yes,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. [quoting Sacks],,https://www.techpolicy.press/pace-the-frontier-they-say-but-who-sets-the-pace/,independence/techpolicy-pace.txt,
IF40,2026-09-13,Breitbart / Daily Caller / Tribune-ANI,press,press,Breitbart and Daily Caller quote or mention METR (Sacks line; METR/Redwood investigation) with no funding description; ANI/Tribune covers Sacks and Meta's Alexandr Wang without naming METR.,yes,Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff. [Breitbart quoting Sacks],,https://www.breitbart.com/tech/2026/09/13/anthropics-dario-amodei-calls-for-ai-industry-slow-down-sam-altman-and-elon-musk-signal-agreement/,"also dailycaller.com/2026/09/13/openai-sam-altman-xai-elon-musk-agree-anthropic-dario-amodei-pace-artificial-intelligence-development/ and tribuneindia.com (ANI, Sep 13)",
IF41,2026-09-13,CNBC (Ashley Capoot),press,press,Amodei on CBS 'Sunday Morning': China is the 'toughest dilemma'; proposes a 'speed limit'; Sacks quoted; no METR mention.,no,,,https://www.cnbc.com/2026/09/13/china-dilemma-ai-slowdown-anthropic.html,independence/cnbc-0913-china.txt,
IF42,2026-09-13 19:41,The Verge,press,press,'Trump and Mike Johnson think the AI industry is overreacting'; no METR mention.,no,,,https://www.theverge.com/ai-artificial-intelligence/994441/trump-mike-johnson-ai-industry-overreacting,independence/verge-0913-trump.txt via r.jina.ai,
IF43,2026-09-13,Donald Trump / Speaker Mike Johnson,President; Speaker of the House,government,"Trump (Doonbeg, Ireland) says 'very negative forces' exaggerate AI concerns and the US must keep leading China; Johnson (CNN, NBC) says Congress won't lead and companies can pause on their own, echoing Sacks. No evaluator named.",no,,,https://reut.rs/4dd0Zs0,Reuters + Bloomberg + Axios Johnson piece (rows above),
IF44,2026-09-14 07:24 UTC,METR / Beth Barnes / Chris Painter,evaluator,X post / blog,"UNVERIFIABLE negative search: audit-2 rechecked metr.org/blog, metr.substack.com and web-indexed posts from METR_Evals, BethMayBarnes and ChrisPainterYup for Sacks/Amodei/independence, Sep 12–14, through 2026-09-14 07:24 UTC. No additional response was located by these checks. IF64 and IF90 remain known related posts. Web indexing and Grok per-handle results are incomplete; this does not prove silence or validate an exhaustive zero-response census.",unknown,,,https://metr.org/blog,"research/x-metr-3-grok-2026-09-14.csv search snapshot plus metr.org, metr.substack.com API, and X profile endpoints; timeline/search coverage incomplete | updated from Grok G10-response-watch.csv and G13-census-update.csv (fetch 07:12–07:13 UTC); earlier snapshot 00:15 UTC","audit 2026-09-14: was an unqualified 'No public response ... found as of ~19:00 UTC Sep 13' with names_metr=no. | audit-2 2026-09-14: was {""utc"": ""2026-09-14 07:13 UTC"", ""event"": ""UNVERIFIABLE negative search: no response to Sacks or to Amodei's naming of METR was located by the 2026-09-14 07:13 UTC snapshot (Grok G10 and G13 lanes: per-handle Latest search of @METR_Evals, @BethMayBarnes, @ChrisPainterYup, @HjalmarWijk, @ajeya_cotra, @JoshAEngels, @JoeJBenton and nine further METR-staff handles since Sep 13 00:00 UTC returned no post on Sacks, independence, funding or Coefficient; the only METR-officer post is Painter's question to Hwang, IF64, and the only staff post is Nishimura-Gasparian's, IF90); metr.org/blog's latest located post was Aug 31 and the Substack's was Aug 14. X search is capped at ten hits per query, so this remains a negative with stated coverage, not a finding of silence.""}. See research/AUDIT-2.md and audit2-evidence/."
IF45,2026-09-13,OpenAI,frontier lab,press,"No follow-up naming OpenAI's 'independent evaluators with employee-like access' found; Altman's Fortune interview (Sep 12, IPO delay) restates the pledge without naming an evaluator.",no,,,https://fortune.com/2026/09/12/sam-altman-openai-ipo-delay-ill-advised-moment-safety-concerns/,independence/fortune-altman-0912.txt; 2 web searches,
IF46,2026-06-19,Howard Lutnick / Commerce (BIS),Commerce Secretary,government,"Bloomberg sidebar headline 'Lutnick's Anthropic Crackdown Claims New Power Over AI Models' is this June 19 article: a June 12 letter to Amodei required a Commerce license before foreign nationals anywhere could use Fable 5 / Mythos 5 (ECRA 2018 theory). Withdrawn June 30 per later reports. No new Lutnick action on AI models found for Sep 7-13; Lutnick said Sep 2 (G20, Chapel Hill) that Anthropic had 'patched' relations.",no,,,https://www.bloomberg.com/news/articles/2026-06-19/lutnick-s-anthropic-crackdown-claims-new-power-over-ai-models,bloomberg.com 403 x3; text via inkl.com syndication (independence/inkl-lutnick.txt); Sep 2: bloomberg.com/news/articles/2026-09-02/lutnick-says-anthropic-has-patched-relations-with-us-government (403),
IF47,2026-07-20,CAISI (NIST/Commerce),government evaluator,government,"No CAISI statement on designated or embedded evaluators found for Sep 12-13; nist.gov/caisi lists no September item. Context: director Chris Fall resigned Jul 20 after three months; NIST director Arvind Raman is acting CAISI director; CAISI has voluntary pre-deployment testing agreements with OpenAI, Anthropic, Google DeepMind, Microsoft, xAI.",no,,,https://www.nist.gov/caisi,independence/nist-caisi.txt; Axios 2026-07-20 'Trump AI security agency head resigns'; CSA research note on five-lab agreements,
IF48,2026-09-13 16:17,Gavin Baker (@GavinSBaker),Atreides Management CIO,X post,"Investor summary of the ""wild 24 hours"": the only tangible new fact is the labs' evaluator pledge; skeptical of the rest",no,,961521,https://x.com/GavinSBaker/status/2099170698887315833,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF49,2026-09-12 19:48,Julia Turc (@juliarturc),"YouTube AI explainer, ex-Google",X post,"""Day 1: Anthropic employee quits to work at METR. Day 2: Anthropic nominates METR as third-party evaluator.""",yes,"Day 1: Anthropic employee quits to work at METR. Day 2: Anthropic nominates METR as ""third-party evaluator"".",397300,https://x.com/juliarturc/status/2098861274008608886,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF50,2026-09-12 21:45,Josh Engels (@JoshAEngels),"METR technical staff, ex-Google DeepMind",X post,Announces leaving DeepMind's AGI safety team to join METR three weeks earlier,yes,I left Google DeepMind's AGI safety team three weeks ago to join @METR_Evals. To some of my friends and family this seemed like a strange decision: I enjoyed the work I did at GDM and turned down offe,375629,https://x.com/JoshAEngels/status/2098890712830169115,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF51,2026-09-13 14:20,Brian Roemmele (@BrianRoemmele),commentator,X post,"""Major AI Labs just handed over super powers to a shady group called METR""; calls it an ""AI doom cult""",yes,BOOM! I BROKE OPEN THE AI DOOM CULT! Major AI Labs just handed over super powers to a shady group called METR some may very well know who they are and some AI leaders may not. This Beth Barnes the fou,95189,https://x.com/BrianRoemmele/status/2099141225832120737,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF52,2026-09-13 13:38,ThePrimeagen (@ThePrimeagen),programming streamer,X post,"""METR is not independent""",yes,METR is not independent,88409,https://x.com/ThePrimeagen/status/2099130681892729175,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF53,2026-09-11 23:53,Sayer Ji (@sayerjigmi),MAHA adviser,X post,Mocks the second Anthropic safety researcher to quit for METR,yes,🚨UPDATE: This is getting utterly ridiculous. A second Anthropic “safety researcher” (aka SCARY POTTER 2.0) just quit. Joe Benton. Oxford PhD. Anthropic Fellows Program lead. [Notice the 🇬🇧 Pattern] He,80864,https://x.com/sayerjigmi/status/2098560514284495264,Grok X-API pull 2026-09-13 slice 3; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF54,2026-09-12 15:41,Ryan Greenblatt (@RyanGreenblatt),Redwood Research chief scientist,X post,"""I am part of the team doing this independent investigation into alignment and misalignment incidents at Anthropic""",no,,14201,https://x.com/RyanGreenblatt/status/2098799055573045589,Grok X-API pull 2026-09-13 slice 2;5; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF55,2026-09-12 22:38,Christopher Manning (@chrmanning),Stanford NLP,X post,Proposes Stanford NLP as an independent third-party evaluator under Amodei's plan,no,,239931,https://x.com/chrmanning/status/2098904071407362351,Grok X-API pull 2026-09-13 slice 4; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF56,2026-09-12 23:01,Susan Zhang (@suchenzang),ex-Meta AI,X post,"On Redwood's subcontract: ""it's all one big happy multi-level family""",no,,25711,https://x.com/suchenzang/status/2098909952223985669,Grok X-API pull 2026-09-13 slice 2; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF57,2026-09-12 23:28,Ravid Shwartz-Ziv (@ziv_ravid),NYU researcher,X post,"""First rule of independent investigators: if someone pays you, you are not independent""",no,,7173,https://x.com/ziv_ravid/status/2098916712036909133,Grok X-API pull 2026-09-13 slice 2; views fxtwitter at 23:56 UTC; research/x-metr-2-grok-2026-09-13.csv,
IF58,2026-09-13 12:11,Nate Soares (@So8res),MIRI president; SFF grantee,X post (quote of Sacks),"Quote-posts Sacks: ""If you think it's so dangerous then start acting like it. On this we agree.""",no,,6068,https://x.com/So8res/status/2099108803677446412,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF59,2026-09-13 14:37,Tim Hwang (@timhwang),commentator,X post,"""The third party AI evaluator can either be independent, knowledgeable, or sustainably funded. Pick two.""",no,,8351,https://x.com/timhwang/status/2099145338678378958,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF60,2026-09-13 17:15,Daniel Kokotajlo (@DKokotajlo),AI Futures Project; SFF grantee,X post (quote of Sacks),"Quote-posts Sacks: regulatory capture will be visible if frontier progress does not slow within a year; ""I am somewhat concerned that this will happen""",no,,17404,https://x.com/DKokotajlo/status/2099185129533186438,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF61,2026-09-13 19:47,Kelsey Piper (@KelseyTuoc),journalist,X post (reply),"Defends METR: ""My understanding is that METR is not a Coefficient Giving grantee""; cites METR's Aug 14 funding update; ""they in fact work quite hard to maintain a diverse set of funders""",yes,@segyges @thkostolansky @Laneless_ My understanding is that METR is not a Coefficient Giving grantee. This lists a wide range of organizations for METR's most recent fundraising and CG is notably abse,1269,https://x.com/KelseyTuoc/status/2099223425864888609,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF62,2026-09-13 21:41,Drake Thomas (@MaskedTorah),Anthropic staff,X post (reply),"On evaluator leverage: third parties ""know they'll lose their business by harshly criticizing""; ""if METR is the only credible game in town, nothing the labs can do about it""",yes,"@corsaren Even if all the third parties want to be very strict and impartial, if they know they’ll lose their “business” by harshly criticizing this pressures them to save up social capital. But if ME",421,https://x.com/MaskedTorah/status/2099252227861000284,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF63,2026-09-13 02:26,Drake Thomas (@MaskedTorah),Anthropic staff,X post (reply),"""an underrated source of leverage for METR is, ironically, how limited the ecosystem is ... few options which aren't very obviously a huge downgrade in expertise""",yes,"@YafahEdelman I think an underrated source of leverage for METR is, ironically, how limited the ecosystem is? 

Like if METR harshly criticizes a lab for something and they want to switch to another t",177,https://x.com/MaskedTorah/status/2098961547108487374,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF64,2026-09-14 04:06,Chris Painter (@ChrisPainterYup),METR president,X post (reply to Tim Hwang),"Asks Hwang to define ""independent"" and ""sustainably funded""; the only METR-officer post touching the independence question located Sep 13–14",no,,48,https://x.com/ChrisPainterYup/status/2099348995214631171,Grok G1 census 2026-09-14 (research/grok-out/G1-sacks-census.csv) + fxtwitter payload; views at 2026-09-14,
IF65,2026-09-13 04:07,Elon Musk (@elonmusk) / xAI,,X post,Says Dario is right that there should be some oversight and that peer review of AI by competitors is the right way to start.,no,,513118,https://x.com/elonmusk/status/2098986888572907643,Grok G3 badges BD09 (research/grok-out/G3-badges.csv),"AUTHOR NOTE: this post is a reply to @kevinnbass, the author of this slice; it agrees with Amodei on oversight and does not mention Sacks or METR (fxtwitter refetch 2026-09-14, research/fx-sacks/)"
IF66,2026-09-13 23:48,Speaker Mike Johnson (@SpeakerJohnson),,X post,Calls for a Washington meeting with AI platform providers and experts on guardrails after the weekend pacing debate and says Congress has studied AI since a bipartisan task force.,no,,32881,https://x.com/SpeakerJohnson/status/2099284105003257875,Grok G3 badges BD12 (research/grok-out/G3-badges.csv),
