row_id,principle_no,principle_title,item_no,kind,item_text,fulfilled,notes_evidence,source_url
AE22,2,Minimized Conflicts of Interest,2.4.5,Sub-question of 2.4 (CoI disclosure),Do any evaluation staff working on the evaluation simultaneously work for the system provider or its direct competitors?,No,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE23,2,Minimized Conflicts of Interest,2.4.6,Sub-question of 2.4 (CoI disclosure),Did the evaluator have any other conflicts of interest relevant to the evaluation?,Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff.,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE24,2,Minimized Conflicts of Interest,2.5,Requirement,The evaluator recused any individuals with a significant financial interest in the system provider from carrying out the evaluation.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE25,2,Minimized Conflicts of Interest,2.6,Recommendation,The evaluator disclosed any separate agreements with the system provider that significantly impact the independence and trustworthiness of the evaluation.,Yes,Note that METR’s work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies. See our website.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE26,3,Analytic Autonomy,3.1,Recommendation,The evaluator retained flexibility to define which specific properties of the system to evaluate.,Yes,METR retained full flexibility within the scope of assessing loss-of-control risk.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE27,3,Analytic Autonomy,3.2,Requirement,The evaluator had autonomy in deciding the methods of the evaluation.,Yes,METR had full methodological autonomy within the scope of assessing loss-of-control risk.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE28,3,Analytic Autonomy,3.3,Recommendation,The evaluator ran the evaluations themselves via direct system access.,Yes,Some evaluations were conducted by participant companies.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE29,3,Analytic Autonomy,3.4,Requirement,The evaluator retained editorial control over how they present the results of their evaluation.,Yes,"Participant companies did not have editorial control over the final public report, but did have control over what non-public information METR could incorporate into it.",https://metr.org/blog/2026-05-19-frontier-risk-report/
AE30,4,Transparent Methods and Results,4.1,Requirement,The evaluator shared sufficient methodological details to allow for independent review of the results.,Yes,Not determinable by METR alone. See section on evaluation details.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE31,4,Transparent Methods and Results,4.2,Recommendation,The system provider granted any necessary rights to disclose results to the evaluation’s intended audiences upfront.,Yes,See sections on pilot process and redaction and anonymization.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE32,4,Transparent Methods and Results,4.3,Recommendation,The intended audiences for an evaluation were not narrowed based on the results.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE33,4,Transparent Methods and Results,4.4,Recommendation,The system provider did not misrepresent the evaluation’s findings.,N/A,METR presented its own findings.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE34,4,Transparent Methods and Results,4.5,Recommendation,The system provider or other external parties did not unduly delay the evaluation from being disclosed based on the content of the results.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE35,4,Transparent Methods and Results,4.6,Requirement,The system provider did not have authority to redact results to conceal concerning findings.,See notes,"Participants could exit the pilot silently. Participants that remained could redact certain findings, but could not redact the top-level redaction summary sentence. See section on redaction and anonymization.",https://metr.org/blog/2026-05-19-frontier-risk-report/
AE36,4,Transparent Methods and Results,4.7,Recommendation,The evaluator clearly disclosed the redaction authorities granted to the system provider or other external entities.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE37,5,Protection of Sensitive Information,5.1,Requirement,The evaluator had the system provider’s permission to release any results based on non-public information or systems.,Yes,See section on redaction and anonymization.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE38,5,Protection of Sensitive Information,5.2,Recommendation,The evaluation methods were not gamed or leaked.,Yes,The report has a section that discusses how METR addressed agent attempts to game evaluations. See section on model access for protections against leakage.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE39,5,Protection of Sensitive Information,5.3,Requirement,The evaluator implemented measures to protect any confidential information they received from the system provider.,Yes,METR has previously published descriptions of some of its confidentiality measures.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE40,5,Protection of Sensitive Information,5.4,Requirement,The evaluator established and followed a responsible disclosure policy.,No,METR has not established a specific responsible disclosure policy.,https://metr.org/blog/2026-05-19-frontier-risk-report/
