row_id,date,event,price_per_share_usd,post_money_usd,implied_fd_shares,source_type,url,quote_verbatim,notes
LD11,2025-09-02,Series F-1 ($140.97) and F-2 ($20.93) — $13B at $183B post,140.9700,183000000000,1298148542,Forge cap-table reproduction + Anthropic release,https://forgeglobal.com/anthropic_ipo/,"| 09/02/2025 | Series F-1 | $12.58B | $140.97 | $183B | ... Shares Outstanding 89,240,219 ; | 09/02/2025 | Series F-2 | $420.02M | $20.93 | $183B | ... Shares Outstanding 20,069,787","Implied FD = 183B / 140.97 = 1,298.1M. Check: 12.58B/89,240,219 = $140.97. Per-share not confirmed by a second source (PUI's Series F post gives only $13B/$183B)."
LD12,2026-02-12,"Series G-1/G-2 ($259.14), G-4 ($233.22), G-3 ($20.93) — $30B at $380B post",259.1400,380000000000,1466388825,Forge cap-table reproduction + Anthropic release,https://forgeglobal.com/anthropic_ipo/,"| 02/12/2026 | Series G-1 | $15.16B | $259.14 | $380B | ... Shares Outstanding 58,508,869 ; | 02/12/2026 | Series G-2 | $14.06B | $259.14 | $380B | ... Shares Outstanding 54,254,274 ; | 02/12/2026 | Series G-4 | $500.78M | $233.22 | $380B | ... Shares Outstanding 2,147,214 ; | 02/12/2026 | Series G-3 | $278.19M | $20.93 | $380B | ... Shares Outstanding 13,292,515","Implied FD = 380B / 259.14 = 1,466.4M. Check: 15.16B/58,508,869 = $259.11. Amazon 10-Q Q2 2026: 'In Q2 2026, we invested $5.0 billion in Anthropic Series G nonvoting preferred stock.' Per-share not confirmed by a second source."
LD13,2026-02-24,Employee tender offer #2 at $350B (= Series G pre-money); closed ~2026-04-08,,350000000000,,SecondaryLink + Bloomberg (press),https://www.bloomberg.com/news/articles/2026-04-08/anthropic-completes-tender-offer-but-employees-hold-onto-shares,"Bloomberg 2026-04-08: 'The company was valued at $350 billion in its latest deal, not including the $30 billion it raised.' ... 'some investors weren't able to pick up as many shares as they planned because of the limited number that employees were willing to sell'. SecondaryLink 2026-02-24: 'The secondary share sale ... could amount to $6 billion.' SecondaryLink 2026-04-09: 'The secondary sale reportedly fell short of its $6 billion expectation'","Per-share price NOT published. $350B pre-money at the Series G price implies the tender cleared at ~$259.14/sh (inference, not documented). Amount actually sold not disclosed."
LD14,2026-05-28,"Series H-1/H-2 ($589.01), H-4 ($50.48), H-3 ($20.93) — $65B at $965B post",589.0100,965000000000,1638342303,Forge cap-table reproduction + Hustle Fund + Anthropic release,https://forgeglobal.com/anthropic_ipo/,"Forge: | 05/28/2026 | Series H-1 | $41.29B | $589.01 | $965B | ... Shares Outstanding 70,096,048 ; | Series H-2 | $18.2B | $589.01 | ... Shares Outstanding 30,907,511 ; | Series H-4 | $3.57B | $50.48 | ... Shares Outstanding 70,655,961 ; | Series H-3 | $1.94B | $20.93 | ... Shares Outstanding 92,764,719. Hustle Fund (2026): 'The Series H-1 closed in May 2026 at $589.01 per share and a $965 billion valuation.'","Implied FD = 965B / 589.01 = 1,638.4M. Two independent sources for $589.01 (Forge; Hustle Fund). H-1+H-2 = $59.49B new money; H-3/H-4 (163.4M sh, $5.5B) are conversions at legacy prices ($50.48 = Amazon's E-4 price; Amazon 10-Q Q1 2026 reports notes converted in Q1 2026 with a $4.5B gain). Amazon 10-Q Q2 2026: '$5.0 billion in Anthropic Series H nonvoting preferred stock'. Anthropic's release: $65B incl. '$15 billion of previously committed investments from hyperscalers' incl. '$5 billion from Amazon'."
LD15,2025-12-31,"US Marshals sale of forfeited Ellison ($10M) and Singh ($40M) Series B shares — during 2025, price undisclosed",,,,Press citing Business Insider (2026-08-31); BI original not retrieved,https://crypto.news/anthropic-shares-seized-from-ftx-executives-sold/,"crypto.news 2026-09-01: 'A court order finalized Ellison's forfeiture in February 2025' ... 'The government reportedly obtained Singh's shares through a separate final order in April 2025' ... 'Business Insider reported that the Marshals Service sold the combined holdings to existing Anthropic investors sometime during 2025' ... 'the Marshals Service has not publicly confirmed the sale, identified the buyers or disclosed how much the government received.' Estimates quoted: PitchBook '$250 million to $630 million'; UCLA '$300 million and $1.1 billion'.","Share count derivable from the Series B price: $50M / $11.23 = ~4.45M shares (arithmetic, not documented). The quoted analyst ranges match 4.45M sh x $56.09 = $250M, x $140.97 = $628M, x $259.14 = $1.15B — i.e. they assumed the sale cleared at the Series E, F or G price. GAP: no price, buyer or date."
LD16,2025-02-11,Secondary indication: Caplight,70.0000,,,Secondary-market indication (not a transaction),https://www.primeunicornindex.com/anthropics-share-price-jumps-in-series-e-filing/,'Anthropic's shares are already trading at $70' according to Caplight,Indication only.
LD17,2026-05-12,Secondary indication: Nasdaq Private Market estimate,550.9700,,,Secondary-market indication (not a transaction),https://eciks.org/6286-90666-anthropic-stock-valued-at-572-on-secondary-markets-targets-october-2026-ipo,"'$550.97 per share (May 12, 2026) — Nasdaq Private Market'",Pre-Series H.
LD18,2026-05-28,Secondary indication: Notice.co algorithmic price,572.4100,,,Secondary-market indication (not a transaction),https://eciks.org/6286-90666-anthropic-stock-valued-at-572-on-secondary-markets-targets-october-2026-ipo,"'$572.41 per share (May 28, 2026) — Notice.co platform'; same article: '~$1,303 per share (date unspecified) — Hiive platform'","Hiive's ~$1,303 (GraniteShares cites ~$1,447 for Hiive, May 2026) is an SPV-unit ask, not a company-level price."
LD19,2026-06-05,Secondary indication: Notice.co consensus,625.2600,,,Secondary-market indication (not a transaction),https://www.hustlefund.vc/post/angel-squad-anthropic-pre-ipo-shares-what-accredited-investors-should-know-in-2026,"'Secondary units trade near $625.26 as of early June 2026, about 6% above the $589 Series H-1 price.'",Indication only.
LD20,2026-08-11,Secondary transaction observed by Prime Unicorn Index,925.0000,,,Secondary transaction (price observed by index; size/counterparty undisclosed),https://www.primeunicornindex.com/breaking-news-anthropic-dethrones-spacex-a-new-no-1-in-the-prime-unicorn-index/,"'Following a recent secondary transaction at $925 per share, a 57% increase from its prior observed price' ... implied Prime Unicorn Index valuation ~$1.50 trillion","$925/$589.01 = 1.570, so the 'prior observed price' is the Series H-1 price. $925 x 1,638.4M FD = $1.52T, consistent with PUI's ~$1.50T."
LD21,2026-08-28,Secondary indication: Nasdaq Private Market estimate,773.9800,,,Secondary-market indication (not a transaction),https://www.nasdaqprivatemarket.com/company/anthropic/,"'Nasdaq Private Market estimates that Anthropic price per share was $773.98 as of August 28, 2026' (as summarized in search results); page fetched 2026-09-14 shows '$777.40 (as of August 31, 2026)'",Indication only; NPM's order-book fields on the same page (bid $260.80 / offer $188.50 / last $234.00) look stale or masked and are NOT used.
LD22,2026-09-14,Secondary indication: Notice.co algorithmic price,870.3600,,,Secondary-market indication (not a transaction),https://notice.co/c/anthropic,'Anthropic Stock $870.36' ... 'Anthropic stock price is built algorithmically using secondary market and reference data.' Public.com (Aug 2026) cited Notice at $724.69.,Indication only.
