gap_no,item,verdict,exact_quote,url,date_of_source,notes
2,Constellation: public statement of which organizations or lab staff it hosts,NOT FOUND,"""General Hosting & Visitors: Our Berkeley research center hosts select individuals and teams working on AI safety. We provide ongoing access to our Berkeley research center for established individuals"" (constellation.org/programs); network page: ""Meet the Constellation Network OpenAI Company type | Location Part of the network since 2025 ... Redwood Research Company Type | Location Part of the network since 2025"" (placeholder template with ""James Smith Job Title"")",https://constellation.org/programs ; https://constellation.org/research,2026-09-14,"No roster of hosted organizations is published. Named lab staff appear only as testimonials: Sam Marks (Member of Technical Staff, Anthropic), Gabe Wu (Program participant and Member of Technical Staff, OpenAI), Erik Jenner (Research Scientist, Google DeepMind). Interim CEO Nicole Ross ""has previously worked at CEA, Coefficient Giving, and GiveWell"" (constellation.org/about). Redwood 990 TY2024 shows $250,000 + $429,955 leasehold to Constellation (redwood.csv RW41). docs/constellation_org_programs.html, docs/constellation_org_research.html, docs/constellation_org_about.html"
3,MATS: Coefficient/Open Philanthropy grants in local index (all payees),FOUND,"19 grants, $78,695,761: BERI SERI MATS $195,000 (2021-11-18); BERI SERI MATS $1,008,127 (2022-04-24); Conjecture SERI MATS London $457,380 (2022-10-12); BERI Machine Learning Alignment Theory Scholars $2,047,268 (2022-11-06); AI Safety Support SERI MATS $1,538,000 (2022-11-21); Conjecture SERI MATS $245,000 (2023-04-23); AI Safety Support SERI MATS 4.0 $1,240,840 (2023-06-27); BERI SERI MATS 4.0 $428,942 (2023-06-27); BERI MATS $2,641,368 (2023-11-05); AI Safety Support MATS Program $732,631 (2023-11-05); AI Safety Support MATS 6.0+7.0 $2,381,609 (2024-05-29); MATS Research MATS 6.0+7.0 $3,382,029 (2024-06-04); AI Safety Support MATS Program Extension $709,567 (2024-10-02); MATS Research AI Safety Research Expenses $660,000 (2024-12-18); MATS Research AI Safety Research Expenses $6,880,000 (2025-03-13); MATS Research General Support $26,924,000 (2025-05-10); MATS Research AI Safety Fellowships $26,924,000 (2025-05-21); MATS Research Research on Exploration Hacking (Eyon Jang and Joschka Braun) $200,000 (2026-04-05); MATS Research Compute for AI Safety Research $100,000 (2026-05-12)",/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json,index built 2026-09-11,"Caution: the 2025-05-10 ""General Support"" (url general-support-8) and 2025-05-21 ""AI Safety Fellowships"" (url ai-safety-fellowships-2) entries carry identical $26,924,000 amounts eleven days apart; possible duplicate index entry. Excluding one, MATS-related total is $51,771,761. SFF adds MATS London Ltd $282,300 and SERI MATS $297,818 (2023-H2, via BERI), MATS Research $639,000 (2024), $289,000 (2025)."
3,MATS: does its site describe routing founder proposals to Coefficient's Project Tailwind,NOT FOUND,"""Potential project inspiration from: Coefficient Giving 2025 Technical AI Safety RFP, Bio Action Plan, Lizka Vaintrob & Owen Cotton-Barratt, Eric Ho, Marius Hobbhahn, Julian Hazell, Abbey Chaver, and Asya Bergal."" (MATS Founding and Field-Building track page)",https://www.matsprogram.org/tracks/founding-and-field-building,2026-09-14,"The words ""Tailwind"" and ""Project Tailwind"" do not appear on the MATS home page or the Founding & Field-Building track page; Coefficient appears only as RFP inspiration and in the alumni-employers list. The only public link between MATS and Tailwind proposals remains Glenn Matlin's X post (independence_fight.csv IF97: ""I am proposing for this now with CG through MATS""). docs/mats-founding-track.txt, docs/www_matsprogram_org.html"
3,MATS: Halcyon Futures runs a MATS Winter 2027 founder stream,FOUND,"""Ross Matican & Mike McCormick (Halcyon Futures) ... Backing projects focused on product development and organization building in the areas of AI safety and alignment, biosecurity, and critical cybersecurity."" (MATS stream page)",https://www.matsprogram.org/stream/halcyon,2026-09-14,Links gap 3 and gap 4: MATS is a public entry point to Halcyon's founder funding. Stream text repeats the Halcyon Request-for-Founders taxonomy; no explicit evaluator/auditor line on the MATS page. docs/www_matsprogram_org_stream_halcyon.html
4,Halcyon Futures: Survival and Flourishing Fund round pages,NOT FOUND,"0 occurrences of ""Halcyon"" across SFF recommendation pages 2019, 2020-H1, 2020-H2, 2021-H1, 2021-H2, 2022-H1, 2022-H2, 2023-H1, 2023-H2, 2024, 2025",https://survivalandflourishing.fund/2025/recommendations (and the ten earlier round pages),2026-09-14,All eleven pages fetched (HTTP 200) and grepped; docs/sff-*-recommendations.html. 2024 flexhegs page 404.
4,Halcyon Futures: Coefficient/Open Philanthropy index,NOT FOUND,"0 grants matching ""halcyon"" in the 2,911-row index",/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json,index built 2026-09-11,Consistent with money_flows.csv M125.
4,Halcyon Futures: any funder named publicly,NOT FOUND,"""So far we've raised $25m in funding for Halcyon's nonprofit and VC fund."" (Mike McCormick, X, 24 Sep 2025); site: ""A deep network at frontier AI labs, startups, nonprofits, VC firms, philanthropic funders and governments.""",https://x.com/MikeMcCormick_/status/1970932733485646216 (via https://api.fxtwitter.com/i/status/1970932733485646216) ; https://halcyonfutures.org/,2025-09-24; 2026-09-14,"No funder is named in the X post, on halcyonfutures.org (home, about, founders, team), in the 990s (Schedule B not public) or in the SFF/Coefficient indexes. Aggregator sites (founderlodge, startupintros) assert a ""$4.2M pre-seed 2026-01-23"" but are unsourced and not used. Same post: ""We're a small team of three (me, Shelby Summerfield and @rossmatican)""; incubated orgs named include Goodfire, AIUC (""@aiunderwriting""), Transluce, Seismic. docs/fx-mccormick-1970932733485646216.json"
4,Halcyon Futures: Request for Founders page text on evaluators/auditors,FOUND,"""Independent AI evaluators, auditors and accountability mechanisms: Rigorous third-party testing of frontier AI models before and after deployment. Independent organizations that test for dangerous capabilities and track whether frontier labs are following their safety commitments."" (under ""Governance, Policy, Standards, and International Coordination"")",https://halcyonfutures.org/founders,2026-09-14,"Page title ""Request for Founders""; /request-for-founders returns 404, the live path is /founders. Same page also lists ""Critical Cybersecurity ... new models like Claude Mythos have been deemed too dangerous to release publicly"". docs/halcyonfutures_org_founders.html"
5,Coefficient team page: Jake Mendel,FOUND,"""Jake Mendel | Program Officer"" (team page); person page: ""Program Officer, Technical AI Safety. Jake joined Coefficient Giving in November 2024 ... Previously, he worked as a research scientist at Apollo Research""",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/team/jake-mendel/,2026-09-14,"docs/coef-team.html, docs/coef-team-jake-mendel.html"
5,Coefficient team page: Ben Goldhaber,FOUND,"""Ben Goldhaber | Program Officer""; person page: ""Program Officer, AI Governance & International Policy. Ben joined Coefficient Giving in April 2026. He focuses on initiatives that encourage, improve, or provide services to the safety and governance teams within AI companies. Previously, he incubated new organizations at the Future of Life Foundation and grew an AI safety research hub at FAR.AI.""",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/team/ben-goldhaber/,2026-09-14,docs/coef-team-ben-goldhaber.html
5,Coefficient team page: Alex Lawsen,FOUND,"""Alex Lawsen | Senior Program Officer""; person page: ""Senior Program Officer, AI Governance & International Policy ... focusing primarily on technical topics including AI information security, model evaluations, and frontier AI safety policies. He also manages most of the grantmakers on the AI Governance & International Policy team. Alex joined Coefficient Giving in August 2023. Previously, he was an advising manager on the 1-on-1 team at 80,000 Hours, where he now serves on the board.""",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/team/alex-lawsen/,2026-09-14,docs/coef-team-alex-lawsen.html
5,Coefficient team page: Catherine Brewer,FOUND,"""Catherine Brewer | Associate Program Officer""; person page: ""Associate Program Officer, AI Governance & International Policy. Catherine joined Coefficient Giving in July 2024. They previously worked as a summer research fellow at GovAI""",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/team/catherine-brewer/,2026-09-14,docs/coef-team-catherine-brewer.html
5,Coefficient team page: Luke Muehlhauser,FOUND,"""Luke Muehlhauser | Managing Director""; person page: ""Managing Director, AI Governance & International Policy. Luke joined Coefficient Giving in 2015. He leads our grantmaking on AI governance and international policy ... Before joining Coefficient Giving, he was Executive Director of the Machine Intelligence Research Institute""",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/team/luke-muehlhauser/,2026-09-14,docs/coef-team-luke-muehlhauser.html
5,Coefficient team page: Anuja Uppuluri,NOT FOUND,"0 occurrences of ""Uppuluri"" or ""Anuja"" in the team page HTML (205 distinct /team/ person links); site search ""You searched for Uppuluri"" returns no results; https://coefficientgiving.org/team/anuja-uppuluri/ returns 404; https://www.openphilanthropy.org/about/team/anuja-uppuluri/ redirects to the coefficientgiving.org home page",https://coefficientgiving.org/about/team/ ; https://coefficientgiving.org/?s=Uppuluri,2026-09-14,"Wayback CDX filtered queries (openphilanthropy.org/* and coefficientgiving.org/* with original matching uppuluri) returned empty; unfiltered CDX listings of /team/ timed out three times (BLOCKED), so absence from historical captures is not established. Her only public self-description remains the X post in independence_fight.csv IF96 (""my team and I at Coefficient Giving""). docs/coef-search-uppuluri.html"
6,Greenblatt: pre-Redwood employer,NOT FOUND,"""Ryan is Chief Scientist at Redwood Research. He has a BS in Applied Mathematics and Computer Science from Brown University."" (Forethought); ""I started doing stuff at Redwood around December 2021."" (Redwood podcast); MATS mentor page and LessWrong profile give no prior employer",https://www.forethought.org/people/ryan-greenblatt ; https://blog.redwoodresearch.org/p/the-inaugural-redwood-research-podcast ; https://www.matsprogram.org/mentor/greenblatt ; https://www.greaterwrong.com/users/ryan_greenblatt,2026-09-14,"No organisation page names a prior employer. A web-search snippet from a LinkedIn-derived aggregator (RocketReach) lists Optiver, Stevens Capital Management, Locus Robotics and Cross The Road Electronics with a 2018-2022 Brown BS; not used (LinkedIn-derived, unverified). Wayback fetch of the 2022 Redwood team page timed out (BLOCKED). docs/www_forethought_org_people_ryan-greenblatt.html, docs/www_matsprogram_org_mentor_greenblatt.html, docs/gw-greenblatt-user.html"
6,Redwood: Sep 12 2026 subcontract terms / which staff,NOT FOUND,"""Several staff from Redwood have been subcontracted by METR to work on this investigation. We believe that independent investigation is crucial for understanding and managing misalignment risk."" (Redwood Research @redwood_ai, 12 Sep 2026 15:27 UTC, quoting METR); ""I am part of the team doing this independent investigation into alignment and misalignment incidents at Anthropic. I'm excited to work with METR and others from Redwood"" (Ryan Greenblatt, 12 Sep 2026 15:41 UTC)",https://x.com/redwood_ai/status/2098795673248550984 ; https://x.com/RyanGreenblatt/status/2098799055573045589 (both via api.fxtwitter.com),2026-09-12,"No Redwood or METR web page names the subcontracted staff or terms. Anthropic's 9 Sep page names only METR (""Our initial agreement runs for eight weeks, with the option to extend by mutual agreement"") and never mentions Redwood; METR's 9 Sep X post says reports will ""describe our terms of engagement""; metr.org/blog index has no September 2026 post; redwoodresearch.org home and team pages have no mention. Only Greenblatt is publicly self-identified. docs/fx-redwood-2098795673248550984.json, docs/fx-greenblatt-2098799055573045589.json, docs/fx-metr-2097765966088487290.json, docs/anthropic-alignment-assessment-cyber.html"
