gap_no,item,verdict,exact_quote,url,date_of_source,notes
2,"Marc Andreessen or Martin Casado posts on METR / slowdown, Sep 2026",NOT FOUND,(none located),web searches 2026-09-14; research/x_amplifiers.csv; research/x-metr*-grok-*.csv; research/grok-out/*.csv,2026-09-14,"Three searches (Andreessen/Casado + METR/slowdown) returned no post; the local X census contains no @pmarca or @martin_casado row on METR. Newcomer 'Martin Casado Isn't Backing Down' is dated 2025-08-29, unrelated"
2,a16z investment in Thinking Machines Lab,FOUND,"Thinking Machines Lab, the AI startup founded by OpenAI's former chief technology officer Mira Murati, officially closed a $2 billion seed round led by Andreessen Horowitz on Monday, a company spokesperson told TechCrunch. The deal, which includes participation from Nvidia, Accel, ServiceNow, CISCO, AMD, and Jane Street, values the startup at $12 billion",https://techcrunch.com/2025/07/15/mira-muratis-thinking-machines-lab-is-worth-12b-in-seed-round/,2025-07-15,Mascorro's own site: 'Thinking Machines (Seed lead)'. Radford as TML adviser: TechCrunch 2025-04-08: 'has gained two new prominent advisers: Bob McGrew ... and Alec Radford ... website was quietly updated with McGrew and Radford's names sometime in March.' (docs/techcrunch-tml-advisers-2025-04-08.html)
2,a16z investment in evaluator companies,FOUND (partial),"LMArena, the open community platform for evaluating the best AI models, has secured $100 million in seed funding led by a16z and UC Investments (University of California) with participation from Lightspeed, Laude Ventures, Felicis, Kleiner Perkins and The House Fund.",https://www.prnewswire.com/news-releases/lmarena-secures-100m-in-seed-funding-to-bring-scientific-rigor-to-ai-reliability-302462025.html,2025-05-21,"Also a16z 'Investing in Braintrust' (2024-10-08): LLM devtool 'such as evals and logging' (product-eval tooling, not a third-party model evaluator). No a16z investment found in a METR-style safety evaluator; AIUC's investor list does not include a16z"
3,FAR.AI lab-money cap policy on its site,NOT FOUND,"(no cap text on far.ai/about, /donate, home, /topic/red-teaming-evaluation, /news/30m-multi-funder-support; /about/transparency returns 404)",https://www.far.ai/about ; https://www.far.ai/donate ; https://far.ai/about/transparency,fetched 2026-09-14 08:33-08:40 UTC,"The only source asserting a cap is longtermwiki.com/wiki/E138: 'The organization maintains a policy capping revenue from for-profit AI developers at a maximum of 10% of total annual revenue' — its footnotes for that sentence are a Google Scholar profile [4] and an FLI podcast [10], i.e. unsupported; treat as unverified. Saved: docs/longtermwiki-far.html, docs/far-*.html"
3,FAR.AI funders incl. lab-financed AI Safety Fund,FOUND,"Principal supporters include Coefficient Giving (previously Open Philanthropy), Schmidt Sciences, Survival and Flourishing Fund, the Center for Security and Emerging Technology (CSET), and the AI Safety Fund (AISF), supported by the Frontier Model Forum (FMF). || FMF: Support for the fund has come from the founding members of the Frontier Model Forum, including Anthropic, Google, Microsoft, and OpenAI, as well as philanthropic partners such as the Patrick J. McGovern Foundation, the David and Lucile Packard Foundation, Schmidt Sciences, and Jaan Tallinn.",https://www.far.ai/news/30m-multi-funder-support ; https://www.frontiermodelforum.org/ai-safety-fund/,2026-08-19 (FAR.AI post); FMF page fetched 2026-09-14,FAR.AI: 'over $30 million in funding commitments throughout 2025'; 'Maintain research independence while collaborating with frontier labs and government agencies'. AISF share not stated
3,FAR.AI Coefficient total,FOUND,"18 grants to organization_name 'FAR AI', sum $59,347,676, award dates 2021-10-20 to 2025-09-14 (largest $28,675,000 'AI Safety Research and Field-building' 2025-09-14; $12,000,000 'AI Safety Regranting' 2024-06-16)",/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json,index built 2026-09-11,"Confirms board.csv B05. Excludes 'Safe AI Forum' (website far.ai/about/saif) $1,267,513 2023-12-19, which would bring the FAR.AI-hosted total to $60,615,189"
3,FAR.AI engagement with a frontier lab,FOUND,"6.3.3.4 Third party red teaming — Far.AI — FAR.AI conducted 80 hours of red-teaming over 1 week against the OpenAI API. They found several partial vulnerabilities, and a potential end-to-end attack bypassing the monitoring system but with substantial output quality degradation.","https://arxiv.org/pdf/2601.03267 (OpenAI GPT-5 System Card, dated August 13, 2025; arXiv v2 1 May 2026)",2025-08-13,"far.ai/research: 'We share our research outputs through peer-reviewed publications, via partnerships with governmental AI safety institutes, and through red-teaming engagements for leading AI companies.' Payment terms not stated. FAR AI 990 TY2024 (EIN 92-0692207): program service revenue 'EARNED REVENUE' $429,091 of $24,293,765 total revenue (1.8%); TY2023 $339,412 of $8,076,314 (4.2%); Gleave PRESIDENT/CEO $229,331; 3 voting members, 2 independent. Saved: docs/gpt5-system-card-arxiv-2601.03267.pdf, docs/990-farai-ty2024-202543189349316054.xml"
4,Eli Rose affiliation,FOUND,"Eli Rose, a Senior Program Associate in GCR Capacity Building (formerly known as the ""Effective Altruism Community Growth (Longtermism)"" team). || Eli Rose, who joined the team in 2020, is being promoted to Program Officer, and will lead the GCRCB team on an interim basis while we conduct a thorough search for a permanent team lead.",https://forum.effectivealtruism.org/posts/peLstYwka2EzxiNG7/ama-six-open-philanthropy-staffers-discuss-op-s-new-gcr ; https://coefficientgiving.org/research/introducing-open-philanthropys-new-leadership-team/,"2023-10-18 (EA Forum, posted by Open Philanthropy account); 2024-02-01 (Coefficient post)","Open Philanthropy = Coefficient Giving (renamed Nov 2025). Constellation 990 TY2023 and TY2024 list 'ELI ROSE | DIRECTOR | 1.00 hr | $0'. Coefficient's three Constellation grants total $22,950,000 (M126-M128; M126 under the 'Global Catastrophic Risks Opportunities' fund). coefficientgiving.org team page is JS-rendered (no names in fetched HTML/proxy); LinkedIn not used"
4,Tyler Storlie affiliation,NOT FOUND,(no public affiliation located),web searches 2026-09-14; https://constellation.org/about ; https://www.redwoodresearch.org/team,2026-09-14,"Appears only as 'TYLER STORLIE | DIRECTOR | 1.00 hr | $0' on Constellation 990 TY2023 and TY2024. Name searches return unrelated people (a children's-book author, industrial sales); not on constellation.org/about, redwoodresearch.org/team, or Coefficient pages"
4,Nathaniel Thomas = Redwood's Nate Thomas,FOUND,"redwoodresearch.org/team — Board of Directors: Buck Shlegeris; Nate Thomas; Ammon Bartram. || Redwood 990s: NATHANIEL THOMAS — CEO/PRESIDENT (TY2021), CHAIRPERSON/PRESIDENT (TY2022), DIRECTOR, BOARD CHAIR 40.00 hrs + 40.00 hrs related org (TY2023), DIRECTOR, BOARD CHAIR 2.00 hrs (TY2024). || Constellation 990 TY2024: NATHANIEL THOMAS — CEO (THRU 7/24) — 40.00 — $274,975",https://www.redwoodresearch.org/team ; research/990-redwood-*.xml ; research/agents-2026-09-14/S4-people/docs/990-constellation-202503199349302910.xml,fetched 2026-09-14; 990s TY2021-TY2024,"Same name, same address (2150 Shattuck Ave Ste 1200), Constellation is Redwood's Schedule R related org; the TY2023 Redwood return books 40 hrs/wk for him at the related organization. Redwood's site gives no bio for Thomas"
4,Constellation current CEO and board,FOUND,"constellation.org/about — Leadership: Nicole Ross — Interim CEO — Before serving as our interim CEO, she led Constellation's Convening team. [...] She has previously worked at CEA, Coefficient Giving, and GiveWell. || CA Secretary of State record (via bizprofile.net, extracted 2026-03-25; Statement of Information filed 2025-02-17): Cullen O'keefe ... Director; James Bregan ... Director; James Bregan ... Chief Executive Officer; Meghna Mann ... Secretary; Meghna Mann ... Chief Financial Officer; Director — Nathaniel Thomas",https://constellation.org/about ; https://www.bizprofile.net/ca/berkeley/constellation-research-center-inc,about page fetched 2026-09-14 08:33 UTC; SOI 2025-02-17,"No board listed on constellation.org. 990 TY2024 Schedule O: 'THE ORGANIZATION IS IN THE PROCESS OF CHANGING ITS BOARD'; principal officer on the return: Meghna Mann. O'Keefe: law-ai.org: 'Managing Director of Research at LawAI ... Prior to LawAI, Cullen worked at OpenAI in various legal and policy research roles.' GuideStar: 'This organization has no recorded board members.'"
5,METR AEF-1 equity/CoI answers (May 2026 FRR),FOUND,"Do the system provider, its employees, or its direct competitors own equity in the evaluator organization? No | Do evaluator staff who carried out the evaluation own equity in the system provider or its direct competitors? No | Do any evaluation staff working on the evaluation simultaneously work for the system provider or its direct competitors? No | Did the evaluator have any other conflicts of interest relevant to the evaluation? Several of the staff and collaborators directly involved in this pilot (at least 6) have close personal relationships with AI company staff. || METR did not have an applicable personnel conflict of interest (CoI) policy in place at the start of this project, and as such we did not run a formal recusal or disclosures process. [...] we are actively working on developing such a policy.",https://metr.org/blog/2026-05-19-frontier-risk-report/,2026-05-19,"AEF-1 item 2.3 'The evaluator has published a conflict of interest policy, and it was applied to the evaluation' — 'No'. Answers cover evaluation staff, not board members or advisors. Saved: docs/metr-frr-blog.html"
5,METR board conflict policy published since May 2026,NOT FOUND,(no policy page; sitemap has no policy/governance URL; post-May posts and PDFs contain no 'conflict of interest'),https://metr.org/sitemap.xml ; https://metr.org/blog/2026-08-14-funding-update/ ; https://metr.org/blog/2026-08-31-security-update/ ; https://metr.org/june-2026-progress-report.pdf ; https://metr.org/hugging-face-incident-report-aug-2026.pdf,fetched 2026-09-14 08:34-08:39 UTC,"Sitemap (245 URLs) posts after 2026-05-19: 06-26 gpt-5-6-sol, 07-21 expenditure-horizon, 07-28 propensities-after-incidents, 08-14 funding-update, 08-26 openai-hugging-face-incident-investigation, 08-31 security-update; none is a policy. FY2024 990 Schedule O: 'AS PART OF THE BI-ANNUAL REGULAR BOARD MEETINGS, THE BOARD DISCUSSES AND DOCUMENTS ALL POTENTIAL CONFLICTS OF INTEREST' and 'METR GOVERNING DOCUMENTS, CONFLICT OF INTEREST POLICY AND FINANCIAL STATEMENTS ARE MADE AVAILABLE TO THE PUBLIC UPON REQUEST.'"
5,Public disclosure of lab/evaluator/insurer equity by any METR board member or officer,NOT FOUND,(no disclosure located),sources above,2026-09-14,"Facts on record only: Dattani is co-founder of AIUC (for-profit; seed investors include Anthropic co-founder Ben Mann); Mascorro was an a16z Partner who led the Thinking Machines seed (a16z-led, $2B) and lists personal investments (Veeda AI, Mechanize, Runpod, SF Compute, Embra AI, Stack AI, AirGarage, General Proximity) on mascobot.com/investing; Radford advises Thinking Machines Lab; Gleave is CEO of nonprofit FAR.AI. None of these pages states an equity position; METR's AEF-1 answers cover only evaluation staff"
