row_id,utc_or_date,outlet,author,title,url,names_metr,describes_metr_funding,metr_response,evaluator_access_named,tailwind_or_halcyon,security_critique,fetched
PR36,2026-09-13 15:16 UTC,"The Telegraph, syndicated at Yahoo Finance",James Titcomb,Silicon Valley's attempt to slow AI race triggers surge of suspicion,https://finance.yahoo.com/technology/ai/articles/silicon-valley-attempt-slow-ai-151657551.html,no,no,no,none (Sacks: 'Stop pretending the motivation to slow down is purely altruistic.'),,,yes (docs/PR-yahoo-telegraph-suspicion.html)
PR37,2026-09-13 22:32 UTC,NPR,NPR staff,"Trump, Speaker Johnson downplay calls for AI slowdown",https://www.npr.org/2026/09/13/nx-s1-5968078/trump-mike-johnson-ai-slowdown,no,no,no,none (Sacks: 'stop pretending you need anyone else's permission'),,,yes (docs/PR-npr-0913.html)
PR38,2026-09-13 19:36 UTC,HuffPost,Jazmin Tolliver,Mike Johnson: AI leaders have 'obvious corporate responsibility',https://www.huffpost.com/entry/mike-johnson-ai-leaders-responsibility_n_6aa6b7bae4b0781f9692d7ff,no,no,no,none,,,yes (WebFetch; no raw copy)
PR39,2026-09-13,Politico,Politico staff,Johnson: AI companies should take responsibility,https://www.politico.com/news/2026/09/13/tech-ai-safety-johnson-01073735,no,no,no,none,,,yes via r.jina.ai (direct blocked)
PR40,2026-09-14 05:28 UTC,Stocktwits,Yuvraj Malik,"Slow Down AI? Microsoft CEO, President Trump Line Up Against Anthropic's Call",https://stocktwits.com/news-articles/markets/equity/slow-down-ai-microsoft-ceo-president-trump-line-up-against-anthropic-s-call-big-tech-s-divide-is-now-out-in-the-open/cZtlsPVRBRe,no,no,no,none (Sacks 'regulatory capture'),,,yes (docs/PR-stocktwits-0914.html)
PR41,2026-09-14 07:04 UTC,Crypto Briefing,staff,"Anthropic, OpenAI push to slow AI development, clash with Trump admin",https://cryptobriefing.com/anthropic-openai-push-to-slow-ai-development-clash-with-trump-admin/,no,no,no,none,,,yes (docs/PR-cryptobriefing-clash.html)
PR42,2026-09-13 15:00 UTC,Bloomberg Opinion,Parmy Olson,Anthropic's AI Apocalypse Warning Is Much Too Weak,https://www.bloomberg.com/opinion/articles/2026-09-13/amodei-essay-anthropic-ai-apocalypse-warning-is-far-too-weak,unknown,unknown,no,unknown,,,snippet-only (r.jina.ai: headline + intro only)
PR43,2026-09-13,New York Times,not retrieved,(Techmeme-listed under the Sacks block) silicon-valley-ai-slowdown,https://www.nytimes.com/2026/09/13/technology/silicon-valley-ai-slowdown.html,unknown,unknown,no,unknown,,,"blocked (r.jina.ai CAPTCHA, curl 403, direct fetch refused — 3 attempts)"
PR44,2026-09-13,New York Times,not retrieved,anthropic-ceo-slower-ai-development; ai-catastrophe-fears-washington,https://www.nytimes.com/2026/09/13/technology/anthropic-ceo-slower-ai-development.html,unknown,unknown,no,unknown,,,blocked (r.jina.ai CAPTCHA)
PR45,2026-09-13,Wall Street Journal (opinion) and WSJ tech,not retrieved,The Great AI Slowdown; America's Great AI Freakout Has Begun,https://www.wsj.com/opinion/the-great-ai-slowdown-d5578546,unknown,unknown,no,unknown,,,"blocked (r.jina.ai CAPTCHA, curl 401, direct fetch refused — 3 attempts)"
PR46,2026-09-14,GitHub diclogic/ai-daily-digest issue #152 (aggregator),diclogic,AI Daily Digest — 2026-09-14,https://github.com/diclogic/ai-daily-digest/issues/152,yes,no (repeats Sacks line; says Benton/Engels 'resigned September 12' — NBC reported it Sep 10),no,METR ('the independent evaluator Amodei's essay names as the recipient of employee-level access'),,,yes (docs/PR-github-digest-152.html)
PR47,2026-09-14,AI Weekly (aiweekly.co) daily page (aggregator),aiweekly,"AI News Today, September 14",https://aiweekly.co/ai-news-today,yes,no,no,METR (quotes essay),no match for Coefficient/Tailwind/Halcyon,,yes (WebFetch)
PR48,2026-09-14,Futureseek Link Digest,futureseek,Futureseek Daily Link Review; 14 September 2026,https://futureseek.wordpress.com/2026/09/14/futureseek-daily-link-review-14-september-2026/,no (links only),no,no,links Techmeme item on Hugging Face's Open Alignment Initiative asking to join the embedded-evaluators program,,,yes (WebFetch)
PR49,2026-09-13 23:00 UTC and 2026-09-14 02:55 UTC snapshots,Techmeme,Techmeme,"index pages: Sacks block lists NYT, Axios, Neowin, WSJ opinion, NPR, The Stack, Newsmax, Free Press, HuffPost, Shelly Palmer, Washington Examiner, HN 49685991",https://www.techmeme.com/260913/h2300,no,no,no,Sacks block; Nadella block; The Information standards-body block; Altman Sep 14 block,,,"yes (docs/PR-techmeme-260913-h2300.html, PR-techmeme-260914-h0255.html)"
PR50,checked 2026-09-14 06:58–07:30 UTC,"metr.org/blog, metr.org/research, metr.substack.com, metr.org homepage",METR,"NEGATIVE: no post since Aug 31 (Security update), Aug 26 (HF investigation), Aug 14 (Funding update); homepage has no banner on Amodei/Sacks",https://metr.org/blog,n/a,n/a,no,n/a,,,"yes (docs/PR-metr-blog-index.html, PR-metr-research-index.html, PR-metr-substack-archive.json)"
PR51,checked 2026-09-14 07:20 UTC,"X / @METR_Evals, @BethMayBarnes (syndication timelines); Beth Barnes on LessWrong",METR / Barnes,NEGATIVE: syndication timelines returned empty; Barnes's LessWrong activity ends April 2026; the only METR-officer post touching independence remains Painter's 04:06 UTC reply to Hwang (IF64),https://x.com/ChrisPainterYup/status/2099348995214631171,n/a,n/a,"no (Painter 04:06 UTC: 'Can you elaborate on your definition/criteria for ""independent"" and ""sustainably funded""? Also interested in reactions from others.' — a question, not a statement)",n/a,,,yes (docs/PR-fx-painter-2099348995214631171.json)
PR52,checked 2026-09-14 07:25 UTC,LessWrong (via greaterwrong new-posts index) and EA Forum (via ea.greaterwrong new-posts index; /topics/metr),various,"NEGATIVE: no post Sep 13–14 mentions METR, Sacks or evaluator independence in title or scanned body; EA Forum's last relevant post is the Sep 12 Amodei linkpost (4 comments, none on METR); 'V&V takes on Pacing the frontier' (Hollander) does not mention METR",https://www.greaterwrong.com/index?view=new,no,no,no,none,,,yes (WebFetch)
PR53,checked 2026-09-14 07:25 UTC,"Zvi (thezvi.substack.com), Transformer, Platformer, Import AI, Hyperdimensional (Dean Ball), Understanding AI, Marginal Revolution, Gary Marcus, Astral Codex Ten",various,"NEGATIVE: no new post since IF42 on Sacks/METR. Latest: Zvi Sep 12 'GPT-6-Astra'; Transformer Sep 11; Platformer Sep 11; Import AI Sep 7; Hyperdimensional Sep 1; Understanding AI Sep 10; MR 'Dario Calls for a Pause' Sep 12 (no Sacks/METR item Sep 13–14); Marcus Sep 13 two-cheers (IF37); ACX Open Thread 451 Sep 13 mentions the pact, not METR",https://thezvi.substack.com/archive?sort=new,no,no,no,none,,,yes (WebFetch archive pages)
PR54,checked 2026-09-14 07:30 UTC,"Coefficient Giving (research index; Tailwind pages), Halcyon Futures",Coefficient / Halcyon,NEGATIVE: no new Coefficient post since the Sep 9 items already on file; Tailwind pages unchanged from the Sep 14 00:32 UTC capture (WebFetch 403 today; curl of research index 200); Halcyon 'Request for Founders' is dated Aug 6 2026 and asks for 'Independent organizations that test for dangerous capabilities and track whether frontier labs are following their safety commitments'; no press item in window on Tailwind or Halcyon funding a new evaluator,https://halcyonfutures.org/founders,no,no,no,none,Halcyon Aug 6: 'Rigorous third-party testing of frontier AI models before and after deployment.' — pre-window; no Tailwind award list found,,"yes (docs/PR-halcyon-founders.html, PR-coefficient-research-index.html)"
PR55,checked 2026-09-14 07:30 UTC,"Security trade press (The Register, Dark Reading, SC Media, SecurityWeek, The Stack)",various,"NEGATIVE: no article in window on the Linares/Khlaaf/Flake critique of METR's incident work; trade coverage is limited to METR's own Aug 31 breach disclosure (Register Sep 1, Dark Reading, SC Media, The Stack 'vibe-coded app'); The Stack Sep 13 16:24 UTC (IF36) remains the only press item quoting Linares",https://www.theregister.com/security/2026/09/01/attacker-stole-a-metr-api-key-used-600k-worth-of-credits-and-no-one-noticed-for-weeks/5293730,yes (breach stories),no,no,none,,none in window (see IF77–IF113 for the X layer),yes (WebSearch)
PR56,checked 2026-09-14 07:20 UTC,openai.com/news and anthropic.com/news,OpenAI / Anthropic,NEGATIVE: no lab post naming its embedded evaluators; OpenAI's latest is Sep 11; Anthropic's latest is the Sep 10 threat-intel report (Aug 31 'Improving our alignment and security efforts' is the 'planning to work with METR' post already on file),https://www.anthropic.com/news,no,no,no,none named,,,yes (r.jina.ai for openai.com; direct for anthropic.com)
