row_id,source_csv,verdict,detail,evidence_or_manual_route
M03,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M04,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M05,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M06,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M07,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M08,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M09,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M10,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M11,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M12,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M13,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M14,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M15,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M16,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M17,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M18,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M19,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M20,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M21,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M22,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M23,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M24,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M25,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M26,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M27,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M28,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M29,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M30,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M31,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M32,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M33,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M34,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M35,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M36,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M37,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M38,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M39,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M40,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M41,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M42,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M43,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M44,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M45,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M46,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M47,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M48,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M49,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M50,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M51,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M52,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M53,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M54,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M55,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M56,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M57,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M58,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M59,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M60,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M61,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M62,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M63,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M64,research/money_flows.csv,DIFFERS,"Amount changed from undisclosed to $184,000.",M79 / the Founders Pledge Schedule I grant line.
M65,research/money_flows.csv,DIFFERS,"Amount changed from undisclosed to $20,000.",M83 / the SVCF Schedule I grant line.
M66,research/money_flows.csv,DIFFERS,"Amount changed from undisclosed and date 2025 to $4,000,000, FY2025 (2024-07-01–2025-06-30).",M87 / the Vanguard Charitable Schedule I grant line.
M67,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M68,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M69,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M70,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M71,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M72,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M73,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M74,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M75,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M76,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M77,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M78,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M79,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M80,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M81,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M82,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M83,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M84,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M85,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M86,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M87,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M88,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M89,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M90,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M91,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M92,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M93,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M94,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M95,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M96,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M97,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M98,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M99,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
